symbol,strategy,start_date,end_date,平均騰落率,平均勝率,平均取引日数,平均期待損益率,一日当たりの期待損益率平均,平均期待損益率long,一日当たりの期待損益率平均long,平均期待損益率short,一日当たりの期待損益率平均short,取引当たりの平均日数,平均取引数
AUDJPY,超短期ボリンジャー8日_1.30倍_決済差額0.00,2004-08-19,2019-08-18,18.49,41.61,542.0,0.11,0.03,0.09,0.03,0.13,0.04,3.37,161.0
AUDJPY,超短期ボリンジャー9日_1.30倍_決済差額0.00,2004-08-19,2019-08-18,18.44,40.26,531.0,0.11,0.03,0.09,0.03,0.14,0.04,3.45,154.0
AUDJPY,超短期ボリンジャー6日_1.00倍_決済差額0.00,2004-08-19,2019-08-18,16.85,43.78,620.0,0.09,0.03,0.01,0.0,0.17,0.05,3.35,185.0
AUDJPY,超短期ボリンジャー8日_1.40倍_決済差額0.00,2004-08-19,2019-08-18,14.92,41.61,512.0,0.1,0.03,0.07,0.02,0.13,0.04,3.44,149.0
AUDJPY,超短期ボリンジャー4日_1.90倍_決済差額0.00,2004-08-19,2019-08-18,13.45,41.75,362.0,0.13,0.04,0.03,0.01,0.23,0.06,3.51,103.0
AUDJPY,超短期ボリンジャー9日_1.40倍_決済差額0.00,2004-08-19,2019-08-18,13.35,39.58,494.0,0.09,0.03,0.06,0.02,0.13,0.04,3.43,144.0
AUDJPY,超短期ボリンジャー9日_1.20倍_決済差額0.00,2004-08-19,2019-08-18,12.89,40.36,558.0,0.08,0.02,0.05,0.02,0.1,0.03,3.36,166.0
AUDJPY,超短期ボリンジャー7日_1.20倍_決済差額0.00,2004-08-19,2019-08-18,12.5,41.57,586.0,0.07,0.02,-0.02,-0.01,0.17,0.05,3.29,178.0
AUDJPY,超短期ボリンジャー10日_1.50倍_決済差額0.00,2004-08-19,2019-08-18,12.4,40.88,472.0,0.09,0.03,0.0,0.0,0.19,0.05,3.45,137.0
AUDJPY,超短期ボリンジャー9日_1.10倍_決済差額0.00,2004-08-19,2019-08-18,12.12,39.89,594.0,0.07,0.02,0.07,0.02,0.07,0.02,3.34,178.0
AUDJPY,超短期ボリンジャー8日_1.20倍_決済差額0.00,2004-08-19,2019-08-18,11.01,40.7,576.0,0.07,0.02,0.04,0.01,0.1,0.03,3.35,172.0
AUDJPY,超短期ボリンジャー10日_1.20倍_決済差額0.00,2004-08-19,2019-08-18,11.0,38.55,555.0,0.07,0.02,0.05,0.02,0.09,0.03,3.34,166.0
AUDJPY,超短期ボリンジャー8日_1.50倍_決済差額0.00,2004-08-19,2019-08-18,10.24,38.41,463.0,0.08,0.02,0.03,0.01,0.12,0.03,3.36,138.0
AUDJPY,超短期ボリンジャー9日_1.00倍_決済差額0.00,2004-08-19,2019-08-18,10.2,40.44,607.0,0.06,0.02,0.04,0.01,0.07,0.02,3.32,183.0
AUDJPY,超短期ボリンジャー10日_1.10倍_決済差額0.00,2004-08-19,2019-08-18,9.89,38.51,581.0,0.06,0.02,0.04,0.01,0.08,0.02,3.34,174.0
AUDJPY,超短期ボリンジャー7日_1.30倍_決済差額0.00,2004-08-19,2019-08-18,9.64,42.17,553.0,0.06,0.02,0.0,0.0,0.12,0.03,3.33,166.0
AUDJPY,超短期ボリンジャー9日_1.50倍_決済差額0.00,2004-08-19,2019-08-18,9.26,36.57,445.0,0.07,0.02,0.01,0.0,0.13,0.04,3.32,134.0
AUDJPY,超短期ボリンジャー6日_2.00倍_決済差額0.00,2004-08-19,2019-08-18,9.18,36.96,303.0,0.1,0.03,0.04,0.01,0.16,0.05,3.29,92.0
AUDJPY,超短期ボリンジャー5日_1.00倍_決済差額0.00,2004-08-19,2019-08-18,8.76,39.89,564.0,0.05,0.02,-0.02,-0.01,0.12,0.04,3.17,178.0
AUDJPY,超短期ボリンジャー6日_1.10倍_決済差額0.00,2004-08-19,2019-08-18,8.55,41.62,612.0,0.05,0.02,-0.04,-0.01,0.14,0.04,3.31,185.0
AUDJPY,超短期ボリンジャー8日_1.10倍_決済差額0.00,2004-08-19,2019-08-18,8.05,40.44,607.0,0.05,0.02,-0.02,-0.01,0.12,0.03,3.32,183.0
AUDJPY,超短期ボリンジャー10日_1.40倍_決済差額0.00,2004-08-19,2019-08-18,7.98,39.33,509.0,0.06,0.02,-0.02,-0.01,0.14,0.04,3.39,150.0
AUDJPY,超短期ボリンジャー7日_1.10倍_決済差額0.00,2004-08-19,2019-08-18,7.87,41.4,608.0,0.05,0.02,-0.05,-0.02,0.15,0.04,3.27,186.0
AUDJPY,超短期ボリンジャー13日_1.40倍_決済差額0.00,2004-08-19,2019-08-18,7.59,41.84,495.0,0.06,0.02,-0.02,-0.01,0.14,0.04,3.51,141.0
AUDJPY,超短期ボリンジャー6日_1.90倍_決済差額0.00,2004-08-19,2019-08-18,7.15,35.45,361.0,0.07,0.02,0.01,0.0,0.13,0.04,3.28,110.0
AUDJPY,超短期ボリンジャー4日_1.70倍_決済差額0.00,2004-08-19,2019-08-18,6.59,40.43,466.0,0.05,0.02,-0.01,0.0,0.11,0.03,3.3,141.0
AUDJPY,超短期ボリンジャー7日_1.40倍_決済差額0.00,2004-08-19,2019-08-18,6.58,39.13,527.0,0.04,0.01,-0.03,-0.01,0.13,0.04,3.27,161.0
AUDJPY,超短期ボリンジャー4日_1.80倍_決済差額0.00,2004-08-19,2019-08-18,6.4,39.52,423.0,0.06,0.02,-0.04,-0.01,0.16,0.04,3.41,124.0
AUDJPY,超短期ボリンジャー9日_1.60倍_決済差額0.00,2004-08-19,2019-08-18,6.24,36.0,415.0,0.05,0.02,-0.02,-0.01,0.14,0.04,3.32,125.0
AUDJPY,超短期ボリンジャー6日_1.60倍_決済差額0.00,2004-08-19,2019-08-18,6.11,40.14,479.0,0.05,0.01,-0.04,-0.01,0.14,0.04,3.37,142.0
AUDJPY,超短期ボリンジャー11日_1.60倍_決済差額0.00,2004-08-19,2019-08-18,6.05,41.74,402.0,0.06,0.02,-0.02,-0.01,0.13,0.04,3.5,115.0
AUDJPY,超短期ボリンジャー10日_1.00倍_決済差額0.00,2004-08-19,2019-08-18,5.56,36.81,599.0,0.03,0.01,0.01,0.0,0.06,0.02,3.29,182.0
AUDJPY,超短期ボリンジャー5日_1.90倍_決済差額0.00,2004-08-19,2019-08-18,5.44,38.32,349.0,0.06,0.02,0.0,0.0,0.11,0.03,3.26,107.0
AUDJPY,超短期ボリンジャー5日_2.00倍_決済差額0.00,2004-08-19,2019-08-18,5.42,40.0,310.0,0.06,0.02,-0.02,-0.01,0.16,0.04,3.44,90.0
AUDJPY,超短期ボリンジャー11日_1.20倍_決済差額0.00,2004-08-19,2019-08-18,5.35,38.1,553.0,0.04,0.01,0.0,0.0,0.07,0.02,3.29,168.0
AUDJPY,超短期ボリンジャー12日_1.30倍_決済差額0.00,2004-08-19,2019-08-18,5.32,40.51,531.0,0.04,0.01,-0.02,-0.01,0.1,0.03,3.36,158.0
AUDJPY,超短期ボリンジャー7日_1.00倍_決済差額0.00,2004-08-19,2019-08-18,5.06,39.69,630.0,0.03,0.01,-0.05,-0.02,0.12,0.03,3.25,194.0
AUDJPY,超短期ボリンジャー10日_1.30倍_決済差額0.00,2004-08-19,2019-08-18,5.05,38.36,523.0,0.04,0.01,-0.04,-0.01,0.12,0.03,3.29,159.0
AUDJPY,超短期ボリンジャー8日_1.00倍_決済差額0.00,2004-08-19,2019-08-18,4.3,38.42,607.0,0.03,0.01,-0.05,-0.02,0.1,0.03,3.19,190.0
AUDJPY,超短期ボリンジャー4日_2.00倍_決済差額0.00,2004-08-19,2019-08-18,4.01,38.2,301.0,0.05,0.01,-0.07,-0.02,0.19,0.05,3.38,89.0
AUDJPY,超短期ボリンジャー14日_1.50倍_決済差額0.00,2004-08-19,2019-08-18,3.92,41.6,439.0,0.04,0.01,-0.06,-0.02,0.14,0.04,3.51,125.0
AUDJPY,超短期ボリンジャー11日_1.00倍_決済差額0.00,2004-08-19,2019-08-18,3.91,35.2,589.0,0.03,0.01,0.01,0.0,0.05,0.01,3.29,179.0
AUDJPY,超短期ボリンジャー5日_1.30倍_決済差額0.00,2004-08-19,2019-08-18,3.91,36.63,544.0,0.03,0.01,-0.02,-0.01,0.08,0.02,3.16,172.0
AUDJPY,超短期ボリンジャー2日_1.20倍_決済差額0.00,2004-08-19,2019-08-18,3.72,36.36,207.0,0.06,0.02,0.07,0.02,0.06,0.02,3.14,66.0
AUDJPY,超短期ボリンジャー7日_1.50倍_決済差額0.00,2004-08-19,2019-08-18,3.68,38.41,482.0,0.03,0.01,-0.04,-0.01,0.11,0.03,3.19,151.0
AUDJPY,超短期ボリンジャー8日_1.60倍_決済差額0.00,2004-08-19,2019-08-18,3.59,34.65,416.0,0.03,0.01,-0.03,-0.01,0.1,0.03,3.28,127.0
AUDJPY,超短期ボリンジャー5日_1.10倍_決済差額0.00,2004-08-19,2019-08-18,2.98,38.07,548.0,0.02,0.01,-0.03,-0.01,0.08,0.02,3.11,176.0
AUDJPY,超短期ボリンジャー11日_1.10倍_決済差額0.00,2004-08-19,2019-08-18,2.93,37.36,577.0,0.02,0.01,-0.02,-0.01,0.06,0.02,3.32,174.0
AUDJPY,超短期ボリンジャー8日_1.70倍_決済差額0.00,2004-08-19,2019-08-18,2.88,34.17,395.0,0.03,0.01,-0.02,-0.01,0.09,0.03,3.29,120.0
AUDJPY,超短期ボリンジャー9日_1.90倍_決済差額0.00,2004-08-19,2019-08-18,2.76,40.22,315.0,0.04,0.01,-0.11,-0.03,0.21,0.06,3.42,92.0
AUDJPY,超短期ボリンジャー7日_1.60倍_決済差額0.00,2004-08-19,2019-08-18,2.33,36.43,446.0,0.02,0.01,-0.04,-0.01,0.09,0.03,3.19,140.0
AUDJPY,超短期ボリンジャー13日_1.30倍_決済差額0.00,2004-08-19,2019-08-18,2.04,41.03,530.0,0.02,0.01,-0.05,-0.02,0.1,0.03,3.4,156.0
AUDJPY,超短期ボリンジャー2日_1.10倍_決済差額0.00,2004-08-19,2019-08-18,2.0,35.19,168.0,0.04,0.01,-0.05,-0.02,0.11,0.04,3.11,54.0
AUDJPY,超短期ボリンジャー5日_1.20倍_決済差額0.00,2004-08-19,2019-08-18,1.98,37.43,539.0,0.02,0.01,-0.05,-0.02,0.09,0.03,3.15,171.0
AUDJPY,超短期ボリンジャー5日_1.80倍_決済差額0.00,2004-08-19,2019-08-18,1.94,36.64,426.0,0.02,0.01,-0.06,-0.02,0.1,0.03,3.25,131.0
AUDJPY,超短期ボリンジャー11日_1.30倍_決済差額0.00,2004-08-19,2019-08-18,1.81,37.97,528.0,0.02,0.01,-0.02,-0.01,0.05,0.01,3.34,158.0
AUDJPY,超短期ボリンジャー6日_1.50倍_決済差額0.00,2004-08-19,2019-08-18,1.75,36.94,521.0,0.02,0.01,-0.05,-0.02,0.08,0.02,3.32,157.0
AUDJPY,超短期ボリンジャー3日_1.10倍_決済差額0.00,2004-08-19,2019-08-18,1.74,34.39,479.0,0.02,0.01,-0.06,-0.02,0.1,0.03,3.05,157.0
AUDJPY,超短期ボリンジャー2日_2.00倍_決済差額0.00,2004-08-19,2019-08-18,1.71,37.84,252.0,0.03,0.01,0.01,0.0,0.05,0.02,3.41,74.0
AUDJPY,超短期ボリンジャー6日_1.80倍_決済差額0.00,2004-08-19,2019-08-18,1.7,34.17,379.0,0.02,0.01,-0.01,0.0,0.05,0.02,3.16,120.0
AUDJPY,超短期ボリンジャー3日_2.00倍_決済差額0.00,2004-08-19,2019-08-18,1.69,34.38,303.0,0.02,0.01,-0.02,-0.01,0.07,0.02,3.16,96.0
AUDJPY,超短期ボリンジャー13日_1.80倍_決済差額0.00,2004-08-19,2019-08-18,1.64,40.91,307.0,0.03,0.01,-0.03,-0.01,0.08,0.02,3.49,88.0
AUDJPY,超短期ボリンジャー3日_1.60倍_決済差額0.00,2004-08-19,2019-08-18,1.64,38.17,404.0,0.02,0.01,0.02,0.01,0.01,0.0,3.08,131.0
AUDJPY,超短期ボリンジャー12日_1.10倍_決済差額0.00,2004-08-19,2019-08-18,1.38,36.36,572.0,0.01,0.0,-0.01,0.0,0.04,0.01,3.25,176.0
AUDJPY,超短期ボリンジャー13日_1.00倍_決済差額0.00,2004-08-19,2019-08-18,1.36,36.07,601.0,0.01,0.0,-0.01,0.0,0.03,0.01,3.28,183.0
AUDJPY,超短期ボリンジャー3日_1.00倍_決済差額0.00,2004-08-19,2019-08-18,1.15,35.53,463.0,0.01,0.0,-0.06,-0.02,0.1,0.03,3.05,152.0
AUDJPY,超短期ボリンジャー2日_1.90倍_決済差額0.00,2004-08-19,2019-08-18,1.08,37.18,264.0,0.02,0.01,0.04,0.01,0.0,0.0,3.38,78.0
AUDJPY,超短期ボリンジャー14日_1.40倍_決済差額0.00,2004-08-19,2019-08-18,1.07,40.85,482.0,0.01,0.0,-0.07,-0.02,0.1,0.03,3.39,142.0
AUDJPY,超短期ボリンジャー6日_1.40倍_決済差額0.00,2004-08-19,2019-08-18,1.06,36.14,541.0,0.01,0.0,-0.06,-0.02,0.08,0.02,3.26,166.0
AUDJPY,超短期ボリンジャー8日_1.90倍_決済差額0.00,2004-08-19,2019-08-18,1.03,36.73,328.0,0.02,0.01,-0.05,-0.02,0.09,0.03,3.35,98.0
AUDJPY,超短期ボリンジャー5日_1.70倍_決済差額0.00,2004-08-19,2019-08-18,0.89,34.93,461.0,0.01,0.0,-0.07,-0.02,0.1,0.03,3.16,146.0
AUDJPY,超短期ボリンジャー11日_1.50倍_決済差額0.00,2004-08-19,2019-08-18,0.7,39.69,444.0,0.01,0.0,-0.06,-0.02,0.08,0.02,3.39,131.0
AUDJPY,超短期ボリンジャー4日_1.40倍_決済差額0.00,2004-08-19,2019-08-18,0.46,35.71,525.0,0.01,0.0,-0.05,-0.02,0.08,0.02,3.12,168.0
AUDJPY,超短期ボリンジャー12日_1.60倍_決済差額0.00,2004-08-19,2019-08-18,0.34,39.66,399.0,0.01,0.0,-0.05,-0.02,0.07,0.02,3.44,116.0
AUDJPY,超短期ボリンジャー4日_1.30倍_決済差額0.00,2004-08-19,2019-08-18,0.32,35.47,532.0,0.01,0.0,-0.06,-0.02,0.08,0.02,3.09,172.0
AUDJPY,超短期ボリンジャー6日_1.20倍_決済差額0.00,2004-08-19,2019-08-18,0.14,37.14,576.0,0.01,0.0,-0.06,-0.02,0.07,0.02,3.29,175.0
AUDJPY,超短期ボリンジャー3日_1.80倍_決済差額0.00,2004-08-19,2019-08-18,0.07,36.04,340.0,0.0,0.0,-0.01,0.0,0.02,0.01,3.06,111.0
AUDJPY,超短期ボリンジャー7日_2.00倍_決済差額0.00,2004-08-19,2019-08-18,0.07,32.63,297.0,0.01,0.0,-0.06,-0.02,0.07,0.02,3.13,95.0
AUDJPY,超短期ボリンジャー10日_1.90倍_決済差額0.00,2004-08-19,2019-08-18,0.06,42.22,311.0,0.01,0.0,-0.04,-0.01,0.06,0.02,3.46,90.0
AUDJPY,超短期ボリンジャー7日_1.70倍_決済差額0.00,2004-08-19,2019-08-18,0.02,36.8,393.0,0.01,0.0,-0.06,-0.02,0.08,0.02,3.14,125.0
AUDJPY,超短期ボリンジャー14日_1.90倍_決済差額0.00,2004-08-19,2019-08-18,-0.01,38.96,260.0,0.01,0.0,-0.04,-0.01,0.05,0.01,3.38,77.0
AUDJPY,超短期ボリンジャー6日_1.70倍_決済差額0.00,2004-08-19,2019-08-18,-0.02,36.84,427.0,0.01,0.0,-0.06,-0.02,0.08,0.02,3.21,133.0
AUDJPY,超短期ボリンジャー7日_1.80倍_決済差額0.00,2004-08-19,2019-08-18,-0.02,35.09,360.0,0.01,0.0,-0.06,-0.02,0.07,0.02,3.16,114.0
AUDJPY,超短期ボリンジャー7日_1.90倍_決済差額0.00,2004-08-19,2019-08-18,-0.19,34.29,329.0,0.0,0.0,-0.02,-0.01,0.03,0.01,3.13,105.0
AUDJPY,超短期ボリンジャー12日_1.40倍_決済差額0.00,2004-08-19,2019-08-18,-0.32,40.41,496.0,0.0,0.0,-0.08,-0.03,0.09,0.02,3.4,146.0
AUDJPY,超短期ボリンジャー13日_1.50倍_決済差額0.00,2004-08-19,2019-08-18,-0.52,41.41,446.0,0.0,0.0,-0.06,-0.02,0.07,0.02,3.48,128.0
AUDJPY,超短期ボリンジャー2日_1.80倍_決済差額0.00,2004-08-19,2019-08-18,-0.63,35.06,249.0,0.0,0.0,0.08,0.02,-0.06,-0.02,3.23,77.0
AUDJPY,超短期ボリンジャー11日_1.80倍_決済差額0.00,2004-08-19,2019-08-18,-0.66,41.49,325.0,0.0,0.0,0.02,0.01,-0.02,-0.01,3.46,94.0
AUDJPY,超短期ボリンジャー13日_1.90倍_決済差額0.00,2004-08-19,2019-08-18,-0.75,40.79,257.0,0.0,0.0,-0.03,-0.01,0.03,0.01,3.38,76.0
AUDJPY,超短期ボリンジャー14日_1.60倍_決済差額0.00,2004-08-19,2019-08-18,-0.85,40.0,392.0,0.0,0.0,-0.04,-0.01,0.04,0.01,3.41,115.0
AUDJPY,超短期ボリンジャー10日_1.60倍_決済差額0.00,2004-08-19,2019-08-18,-0.87,37.8,424.0,0.0,0.0,-0.11,-0.04,0.12,0.03,3.34,127.0
AUDJPY,超短期ボリンジャー3日_1.90倍_決済差額0.00,2004-08-19,2019-08-18,-0.92,35.0,308.0,0.0,0.0,-0.03,-0.01,0.03,0.01,3.08,100.0
AUDJPY,超短期ボリンジャー3日_1.20倍_決済差額0.00,2004-08-19,2019-08-18,-0.98,34.78,492.0,0.0,0.0,-0.06,-0.02,0.06,0.02,3.06,161.0
AUDJPY,超短期ボリンジャー5日_1.60倍_決済差額0.00,2004-08-19,2019-08-18,-1.05,34.87,479.0,0.0,0.0,-0.08,-0.03,0.09,0.03,3.15,152.0
AUDJPY,超短期ボリンジャー5日_1.40倍_決済差額0.00,2004-08-19,2019-08-18,-1.11,34.91,524.0,0.0,0.0,-0.04,-0.01,0.04,0.01,3.1,169.0
AUDJPY,超短期ボリンジャー9日_1.70倍_決済差額0.00,2004-08-19,2019-08-18,-1.27,34.48,374.0,-0.01,0.0,-0.07,-0.02,0.07,0.02,3.22,116.0
AUDJPY,超短期ボリンジャー12日_1.70倍_決済差額0.00,2004-08-19,2019-08-18,-1.31,38.24,345.0,-0.01,0.0,-0.05,-0.02,0.03,0.01,3.38,102.0
AUDJPY,超短期ボリンジャー4日_1.20倍_決済差額0.00,2004-08-19,2019-08-18,-1.37,35.8,543.0,0.0,0.0,-0.05,-0.02,0.06,0.02,3.09,176.0
AUDJPY,超短期ボリンジャー6日_1.30倍_決済差額0.00,2004-08-19,2019-08-18,-1.39,35.88,549.0,0.0,0.0,-0.07,-0.02,0.06,0.02,3.23,170.0
AUDJPY,超短期ボリンジャー12日_1.20倍_決済差額0.00,2004-08-19,2019-08-18,-1.43,38.46,547.0,0.0,0.0,-0.06,-0.02,0.06,0.02,3.24,169.0
AUDJPY,超短期ボリンジャー4日_1.50倍_決済差額0.00,2004-08-19,2019-08-18,-1.5,35.58,517.0,0.0,0.0,-0.04,-0.01,0.04,0.01,3.17,163.0
AUDJPY,超短期ボリンジャー2日_1.70倍_決済差額0.00,2004-08-19,2019-08-18,-1.53,36.0,239.0,-0.01,0.0,0.0,0.0,-0.03,-0.01,3.19,75.0
AUDJPY,超短期ボリンジャー4日_1.60倍_決済差額0.00,2004-08-19,2019-08-18,-1.68,35.48,486.0,-0.01,0.0,-0.06,-0.02,0.05,0.01,3.14,155.0
AUDJPY,超短期ボリンジャー11日_1.70倍_決済差額0.00,2004-08-19,2019-08-18,-1.83,38.32,356.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,3.33,107.0
AUDJPY,超短期ボリンジャー13日_1.60倍_決済差額0.00,2004-08-19,2019-08-18,-1.86,40.34,408.0,-0.01,0.0,-0.07,-0.02,0.05,0.01,3.43,119.0
AUDJPY,超短期ボリンジャー3日_1.70倍_決済差額0.00,2004-08-19,2019-08-18,-1.98,38.4,384.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,3.07,125.0
AUDJPY,超短期ボリンジャー14日_1.70倍_決済差額0.00,2004-08-19,2019-08-18,-2.01,38.1,355.0,-0.01,0.0,-0.06,-0.02,0.03,0.01,3.38,105.0
AUDJPY,超短期ボリンジャー15日_1.50倍_決済差額0.00,2004-08-19,2019-08-18,-2.09,40.16,420.0,-0.01,0.0,-0.09,-0.03,0.07,0.02,3.31,127.0
AUDJPY,超短期ボリンジャー2日_1.30倍_決済差額0.00,2004-08-19,2019-08-18,-2.11,35.14,227.0,-0.02,-0.01,-0.06,-0.02,0.0,0.0,3.07,74.0
AUDJPY,超短期ボリンジャー9日_2.00倍_決済差額0.00,2004-08-19,2019-08-18,-2.37,36.9,279.0,-0.02,-0.01,-0.18,-0.06,0.16,0.04,3.32,84.0
AUDJPY,超短期ボリンジャー13日_1.20倍_決済差額0.00,2004-08-19,2019-08-18,-2.54,38.79,554.0,-0.01,0.0,-0.05,-0.02,0.03,0.01,3.36,165.0
AUDJPY,超短期ボリンジャー11日_1.90倍_決済差額0.00,2004-08-19,2019-08-18,-2.7,40.48,296.0,-0.03,-0.01,-0.03,-0.01,-0.02,-0.01,3.52,84.0
AUDJPY,超短期ボリンジャー12日_1.50倍_決済差額0.00,2004-08-19,2019-08-18,-2.79,39.85,456.0,-0.02,-0.01,-0.06,-0.02,0.04,0.01,3.43,133.0
AUDJPY,超短期ボリンジャー12日_1.80倍_決済差額0.00,2004-08-19,2019-08-18,-2.8,39.36,314.0,-0.02,-0.01,-0.03,-0.01,-0.02,-0.01,3.34,94.0
AUDJPY,超短期ボリンジャー9日_1.80倍_決済差額0.00,2004-08-19,2019-08-18,-2.81,36.79,361.0,-0.02,-0.01,-0.14,-0.04,0.12,0.03,3.41,106.0
AUDJPY,超短期ボリンジャー14日_2.00倍_決済差額0.00,2004-08-19,2019-08-18,-2.84,37.5,209.0,-0.04,-0.01,-0.1,-0.03,0.02,0.01,3.27,64.0
AUDJPY,超短期ボリンジャー12日_1.90倍_決済差額0.00,2004-08-19,2019-08-18,-2.87,40.26,262.0,-0.03,-0.01,-0.06,-0.02,-0.01,0.0,3.4,77.0
AUDJPY,超短期ボリンジャー15日_1.60倍_決済差額0.00,2004-08-19,2019-08-18,-2.89,38.79,391.0,-0.02,-0.01,-0.13,-0.04,0.09,0.02,3.37,116.0
AUDJPY,超短期ボリンジャー13日_1.70倍_決済差額0.00,2004-08-19,2019-08-18,-2.98,39.05,358.0,-0.02,-0.01,-0.1,-0.03,0.05,0.01,3.41,105.0
AUDJPY,超短期ボリンジャー10日_1.70倍_決済差額0.00,2004-08-19,2019-08-18,-3.05,36.61,373.0,-0.02,-0.01,-0.1,-0.03,0.06,0.02,3.33,112.0
AUDJPY,超短期ボリンジャー14日_1.80倍_決済差額0.00,2004-08-19,2019-08-18,-3.27,38.71,304.0,-0.03,-0.01,-0.07,-0.02,0.01,0.0,3.27,93.0
AUDJPY,超短期ボリンジャー4日_1.00倍_決済差額0.00,2004-08-19,2019-08-18,-3.41,36.47,524.0,-0.02,-0.01,-0.04,-0.01,0.01,0.0,3.08,170.0
AUDJPY,超短期ボリンジャー10日_2.00倍_決済差額0.00,2004-08-19,2019-08-18,-3.63,40.48,285.0,-0.04,-0.01,-0.1,-0.03,0.03,0.01,3.39,84.0
AUDJPY,超短期ボリンジャー15日_1.90倍_決済差額0.00,2004-08-19,2019-08-18,-3.74,35.06,247.0,-0.04,-0.01,-0.09,-0.03,-0.01,0.0,3.21,77.0
AUDJPY,超短期ボリンジャー3日_1.30倍_決済差額0.00,2004-08-19,2019-08-18,-3.74,33.12,478.0,-0.02,-0.01,-0.08,-0.03,0.05,0.02,2.99,160.0
AUDJPY,超短期ボリンジャー2日_1.00倍_決済差額0.00,2004-08-19,2019-08-18,-3.88,35.14,85.0,-0.1,-0.04,-0.1,-0.04,-0.1,-0.05,2.3,37.0
AUDJPY,超短期ボリンジャー3日_1.40倍_決済差額0.00,2004-08-19,2019-08-18,-3.92,35.22,477.0,-0.02,-0.01,-0.04,-0.01,0.0,0.0,3.0,159.0
AUDJPY,超短期ボリンジャー15日_1.40倍_決済差額0.00,2004-08-19,2019-08-18,-4.11,37.76,472.0,-0.02,-0.01,-0.11,-0.04,0.07,0.02,3.3,143.0
AUDJPY,超短期ボリンジャー15日_2.00倍_決済差額0.00,2004-08-19,2019-08-18,-4.23,35.48,197.0,-0.06,-0.02,-0.11,-0.03,-0.02,-0.01,3.18,62.0
AUDJPY,超短期ボリンジャー5日_1.50倍_決済差額0.00,2004-08-19,2019-08-18,-4.23,35.62,503.0,-0.02,-0.01,-0.09,-0.03,0.05,0.01,3.14,160.0
AUDJPY,超短期ボリンジャー12日_2.00倍_決済差額0.00,2004-08-19,2019-08-18,-4.5,38.57,235.0,-0.06,-0.02,-0.06,-0.02,-0.06,-0.02,3.36,70.0
AUDJPY,超短期ボリンジャー8日_1.80倍_決済差額0.00,2004-08-19,2019-08-18,-4.58,32.14,372.0,-0.03,-0.01,-0.12,-0.04,0.05,0.01,3.32,112.0
AUDJPY,超短期ボリンジャー15日_1.10倍_決済差額0.00,2004-08-19,2019-08-18,-4.74,36.69,560.0,-0.02,-0.01,-0.08,-0.03,0.04,0.01,3.31,169.0
AUDJPY,超短期ボリンジャー13日_2.00倍_決済差額0.00,2004-08-19,2019-08-18,-4.76,40.3,222.0,-0.07,-0.02,-0.12,-0.04,-0.01,0.0,3.31,67.0
AUDJPY,超短期ボリンジャー11日_2.00倍_決済差額0.00,2004-08-19,2019-08-18,-4.78,40.0,259.0,-0.06,-0.02,-0.13,-0.04,0.02,0.01,3.45,75.0
AUDJPY,超短期ボリンジャー12日_1.00倍_決済差額0.00,2004-08-19,2019-08-18,-4.86,33.68,602.0,-0.02,-0.01,-0.06,-0.02,0.02,0.01,3.17,190.0
AUDJPY,超短期ボリンジャー13日_1.10倍_決済差額0.00,2004-08-19,2019-08-18,-4.9,36.57,572.0,-0.02,-0.01,-0.07,-0.02,0.03,0.01,3.27,175.0
AUDJPY,超短期ボリンジャー14日_1.00倍_決済差額0.00,2004-08-19,2019-08-18,-4.99,36.31,599.0,-0.02,-0.01,-0.08,-0.03,0.03,0.01,3.35,179.0
AUDJPY,超短期ボリンジャー15日_1.80倍_決済差額0.00,2004-08-19,2019-08-18,-5.11,34.07,298.0,-0.05,-0.02,-0.08,-0.03,-0.03,-0.01,3.27,91.0
AUDJPY,超短期ボリンジャー14日_1.10倍_決済差額0.00,2004-08-19,2019-08-18,-5.16,35.84,569.0,-0.02,-0.01,-0.08,-0.03,0.03,0.01,3.29,173.0
AUDJPY,超短期ボリンジャー4日_1.10倍_決済差額0.00,2004-08-19,2019-08-18,-5.2,35.23,535.0,-0.03,-0.01,-0.05,-0.02,0.0,0.0,3.04,176.0
AUDJPY,超短期ボリンジャー15日_1.30倍_決済差額0.00,2004-08-19,2019-08-18,-5.38,37.66,508.0,-0.03,-0.01,-0.09,-0.03,0.04,0.01,3.3,154.0
AUDJPY,超短期ボリンジャー10日_1.80倍_決済差額0.00,2004-08-19,2019-08-18,-5.51,37.25,334.0,-0.05,-0.02,-0.1,-0.03,0.0,0.0,3.27,102.0
AUDJPY,超短期ボリンジャー11日_1.40倍_決済差額0.00,2004-08-19,2019-08-18,-5.67,38.0,487.0,-0.03,-0.01,-0.12,-0.04,0.06,0.02,3.25,150.0
AUDJPY,超短期ボリンジャー3日_1.50倍_決済差額0.00,2004-08-19,2019-08-18,-5.95,34.67,446.0,-0.04,-0.01,-0.1,-0.03,0.03,0.01,2.97,150.0
AUDJPY,超短期ボリンジャー14日_1.20倍_決済差額0.00,2004-08-19,2019-08-18,-6.21,36.59,542.0,-0.03,-0.01,-0.09,-0.03,0.03,0.01,3.3,164.0
