symbol,strategy,start_date,end_date,騰落率,平均勝率,平均取引日数,平均期待損益率,一日当たりの期待損益率平均,平均期待損益率long,一日当たりの期待損益率平均long,平均期待損益率short,一日当たりの期待損益率平均short,取引当たりの平均日数,平均取引数
ETHUSD,超短期ボリンジャー15日_1.60倍_決済差額0.00,2016-08-19,2019-08-18,55.47,41.18,87.0,1.81,0.71,1.9,0.7,1.7,0.72,2.56,34.0
ETHUSD,超短期ボリンジャー10日_1.40倍_決済差額0.00,2016-08-19,2019-08-18,54.32,40.43,122.0,1.43,0.55,2.92,0.96,0.33,0.15,2.6,47.0
ETHUSD,超短期ボリンジャー12日_1.30倍_決済差額0.00,2016-08-19,2019-08-18,53.8,32.65,116.0,1.36,0.57,2.98,1.15,0.04,0.02,2.37,49.0
ETHUSD,超短期ボリンジャー11日_1.70倍_決済差額0.00,2016-08-19,2019-08-18,52.37,40.62,85.0,1.92,0.72,3.73,1.19,0.52,0.23,2.66,32.0
ETHUSD,超短期ボリンジャー7日_1.90倍_決済差額0.00,2016-08-19,2019-08-18,50.74,37.84,91.0,1.6,0.65,3.18,1.16,0.39,0.17,2.46,37.0
ETHUSD,超短期ボリンジャー9日_1.80倍_決済差額0.00,2016-08-19,2019-08-18,50.15,36.11,85.0,1.56,0.66,4.46,1.59,-0.51,-0.25,2.36,36.0
ETHUSD,超短期ボリンジャー11日_1.60倍_決済差額0.00,2016-08-19,2019-08-18,48.95,39.47,100.0,1.63,0.62,3.48,1.14,-0.03,-0.01,2.63,38.0
ETHUSD,超短期ボリンジャー14日_1.50倍_決済差額0.00,2016-08-19,2019-08-18,48.05,36.59,96.0,1.42,0.61,2.38,0.9,0.5,0.24,2.34,41.0
ETHUSD,超短期ボリンジャー8日_1.50倍_決済差額0.00,2016-08-19,2019-08-18,46.92,36.73,122.0,1.27,0.51,2.09,0.79,0.61,0.26,2.49,49.0
ETHUSD,超短期ボリンジャー11日_1.30倍_決済差額0.00,2016-08-19,2019-08-18,45.95,35.29,121.0,1.21,0.51,3.34,1.17,-0.28,-0.14,2.37,51.0
ETHUSD,超短期ボリンジャー11日_2.00倍_決済差額0.00,2016-08-19,2019-08-18,45.93,42.86,69.0,1.8,0.73,4.97,1.7,-0.95,-0.46,2.46,28.0
ETHUSD,超短期ボリンジャー7日_1.80倍_決済差額0.00,2016-08-19,2019-08-18,40.64,35.0,98.0,1.32,0.54,3.32,1.18,-0.01,0.0,2.45,40.0
ETHUSD,超短期ボリンジャー9日_1.70倍_決済差額0.00,2016-08-19,2019-08-18,39.6,33.33,97.0,1.39,0.56,2.85,1.03,0.26,0.11,2.49,39.0
ETHUSD,超短期ボリンジャー10日_1.90倍_決済差額0.00,2016-08-19,2019-08-18,38.15,37.5,77.0,1.47,0.61,3.93,1.44,-0.7,-0.33,2.41,32.0
ETHUSD,超短期ボリンジャー12日_1.50倍_決済差額0.00,2016-08-19,2019-08-18,37.41,37.5,104.0,1.35,0.52,3.07,1.04,-0.21,-0.09,2.6,40.0
ETHUSD,超短期ボリンジャー8日_2.00倍_決済差額0.00,2016-08-19,2019-08-18,32.55,34.38,75.0,1.35,0.58,4.48,1.65,-1.09,-0.53,2.34,32.0
ETHUSD,超短期ボリンジャー11日_1.50倍_決済差額0.00,2016-08-19,2019-08-18,31.6,36.59,102.0,1.22,0.49,3.01,1.04,-0.34,-0.16,2.49,41.0
ETHUSD,超短期ボリンジャー11日_1.40倍_決済差額0.00,2016-08-19,2019-08-18,23.6,36.96,110.0,0.95,0.4,2.94,1.05,-0.72,-0.35,2.39,46.0
ETHUSD,超短期ボリンジャー9日_2.00倍_決済差額0.00,2016-08-19,2019-08-18,20.69,35.71,64.0,1.18,0.52,4.79,1.78,-1.95,-1.01,2.29,28.0
ETHUSD,超短期ボリンジャー12日_1.40倍_決済差額0.00,2016-08-19,2019-08-18,18.97,33.33,111.0,0.89,0.36,2.78,0.98,-0.63,-0.29,2.47,45.0
ETHUSD,超短期ボリンジャー10日_2.00倍_決済差額0.00,2016-08-19,2019-08-18,17.17,35.71,66.0,1.04,0.44,3.77,1.43,-1.69,-0.82,2.36,28.0
ETHUSD,超短期ボリンジャー7日_2.00倍_決済差額0.00,2016-08-19,2019-08-18,13.55,33.33,73.0,0.94,0.39,3.21,1.12,-1.05,-0.51,2.43,30.0
ETHUSD,超短期ボリンジャー2日_1.00倍_決済差額0.00,2016-08-19,2019-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETHUSD,超短期ボリンジャー11日_1.10倍_決済差額0.00,2018-08-19,2019-08-18,291.23,47.17,146.0,3.01,1.09,4.37,1.44,1.89,0.75,2.75,53.0
ETHUSD,超短期ボリンジャー7日_1.00倍_決済差額0.00,2018-08-19,2019-08-18,266.44,46.55,163.0,2.7,0.96,3.58,1.13,2.08,0.81,2.81,58.0
ETHUSD,超短期ボリンジャー4日_1.00倍_決済差額0.00,2018-08-19,2019-08-18,253.01,52.94,136.0,2.9,1.09,3.27,1.18,2.6,1.01,2.67,51.0
ETHUSD,超短期ボリンジャー5日_1.20倍_決済差額0.00,2018-08-19,2019-08-18,248.86,49.06,145.0,2.79,1.02,3.14,1.09,2.52,0.96,2.74,53.0
ETHUSD,超短期ボリンジャー12日_1.00倍_決済差額0.00,2018-08-19,2019-08-18,243.07,42.86,151.0,2.63,0.98,4.24,1.41,1.34,0.55,2.7,56.0
ETHUSD,超短期ボリンジャー9日_1.00倍_決済差額0.00,2018-08-19,2019-08-18,229.7,45.76,162.0,2.48,0.9,3.99,1.33,1.38,0.54,2.75,59.0
ETHUSD,超短期ボリンジャー11日_1.00倍_決済差額0.00,2018-08-19,2019-08-18,227.35,42.86,149.0,2.54,0.95,4.03,1.38,1.34,0.55,2.66,56.0
ETHUSD,超短期ボリンジャー10日_1.00倍_決済差額0.00,2018-08-19,2019-08-18,226.7,46.67,164.0,2.37,0.87,3.52,1.25,1.44,0.54,2.73,60.0
ETHUSD,超短期ボリンジャー2日_1.60倍_決済差額0.00,2018-08-19,2019-08-18,225.35,46.43,83.0,4.93,1.66,9.87,2.82,2.95,1.07,2.96,28.0
ETHUSD,超短期ボリンジャー7日_1.10倍_決済差額0.00,2018-08-19,2019-08-18,223.36,45.0,164.0,2.4,0.88,2.75,0.94,2.13,0.83,2.73,60.0
ETHUSD,超短期ボリンジャー4日_1.20倍_決済差額0.00,2018-08-19,2019-08-18,221.66,53.06,131.0,2.84,1.06,2.85,1.05,2.82,1.07,2.67,49.0
ETHUSD,超短期ボリンジャー3日_1.10倍_決済差額0.00,2018-08-19,2019-08-18,220.14,53.49,121.0,3.19,1.13,4.36,1.4,2.27,0.88,2.81,43.0
ETHUSD,超短期ボリンジャー5日_1.00倍_決済差額0.00,2018-08-19,2019-08-18,218.87,46.43,154.0,2.49,0.91,2.23,0.77,2.71,1.03,2.75,56.0
ETHUSD,超短期ボリンジャー5日_1.10倍_決済差額0.00,2018-08-19,2019-08-18,212.4,45.61,152.0,2.42,0.91,2.11,0.77,2.69,1.03,2.67,57.0
ETHUSD,超短期ボリンジャー3日_1.20倍_決済差額0.00,2018-08-19,2019-08-18,205.9,50.0,129.0,2.9,1.03,4.2,1.35,1.99,0.77,2.8,46.0
ETHUSD,超短期ボリンジャー3日_1.00倍_決済差額0.00,2018-08-19,2019-08-18,203.02,53.49,117.0,3.06,1.12,3.66,1.28,2.54,0.97,2.72,43.0
ETHUSD,超短期ボリンジャー6日_1.00倍_決済差額0.00,2018-08-19,2019-08-18,198.69,47.37,161.0,2.34,0.83,2.46,0.82,2.24,0.83,2.82,57.0
ETHUSD,超短期ボリンジャー4日_1.10倍_決済差額0.00,2018-08-19,2019-08-18,196.04,50.0,137.0,2.42,0.95,2.21,0.87,2.62,1.03,2.54,54.0
ETHUSD,超短期ボリンジャー3日_2.00倍_決済差額0.00,2018-08-19,2019-08-18,194.24,42.5,106.0,3.32,1.25,6.77,2.26,1.46,0.59,2.65,40.0
ETHUSD,超短期ボリンジャー13日_1.20倍_決済差額0.00,2018-08-19,2019-08-18,191.36,39.58,128.0,2.7,1.01,4.9,1.63,0.99,0.41,2.67,48.0
ETHUSD,超短期ボリンジャー8日_1.10倍_決済差額0.00,2018-08-19,2019-08-18,186.43,47.27,154.0,2.41,0.86,4.02,1.27,1.26,0.5,2.8,55.0
ETHUSD,超短期ボリンジャー12日_1.10倍_決済差額0.00,2018-08-19,2019-08-18,184.61,41.51,136.0,2.4,0.94,3.98,1.43,1.09,0.46,2.57,53.0
ETHUSD,超短期ボリンジャー4日_1.30倍_決済差額0.00,2018-08-19,2019-08-18,184.01,46.94,132.0,2.57,0.95,2.98,1.12,2.27,0.84,2.69,49.0
ETHUSD,超短期ボリンジャー8日_1.00倍_決済差額0.00,2018-08-19,2019-08-18,180.97,44.64,153.0,2.34,0.86,3.84,1.21,1.29,0.53,2.73,56.0
ETHUSD,超短期ボリンジャー15日_1.10倍_決済差額0.00,2018-08-19,2019-08-18,176.48,40.0,133.0,2.5,0.94,4.73,1.55,0.75,0.32,2.66,50.0
ETHUSD,超短期ボリンジャー2日_1.70倍_決済差額0.00,2018-08-19,2019-08-18,176.32,38.24,92.0,3.59,1.33,6.32,2.24,2.28,0.86,2.71,34.0
ETHUSD,超短期ボリンジャー14日_1.10倍_決済差額0.00,2018-08-19,2019-08-18,175.76,41.18,132.0,2.44,0.94,4.29,1.47,0.92,0.4,2.59,51.0
ETHUSD,超短期ボリンジャー3日_1.40倍_決済差額0.00,2018-08-19,2019-08-18,174.28,44.0,137.0,2.46,0.9,2.79,0.99,2.17,0.81,2.74,50.0
ETHUSD,超短期ボリンジャー3日_1.90倍_決済差額0.00,2018-08-19,2019-08-18,167.75,40.48,110.0,2.94,1.12,6.14,2.09,0.98,0.4,2.62,42.0
ETHUSD,超短期ボリンジャー3日_1.80倍_決済差額0.00,2018-08-19,2019-08-18,167.45,40.91,114.0,2.81,1.08,5.75,1.99,0.96,0.4,2.59,44.0
ETHUSD,超短期ボリンジャー2日_1.50倍_決済差額0.00,2018-08-19,2019-08-18,166.92,48.15,74.0,4.27,1.56,7.56,2.27,2.62,1.07,2.74,27.0
ETHUSD,超短期ボリンジャー15日_1.20倍_決済差額0.00,2018-08-19,2019-08-18,166.91,39.58,127.0,2.52,0.95,4.82,1.61,0.73,0.31,2.65,48.0
ETHUSD,超短期ボリンジャー3日_1.30倍_決済差額0.00,2018-08-19,2019-08-18,166.79,45.1,137.0,2.36,0.88,2.95,1.03,1.86,0.73,2.69,51.0
ETHUSD,超短期ボリンジャー14日_1.20倍_決済差額0.00,2018-08-19,2019-08-18,164.62,39.58,126.0,2.49,0.95,4.73,1.6,0.74,0.31,2.62,48.0
ETHUSD,超短期ボリンジャー5日_1.40倍_決済差額0.00,2018-08-19,2019-08-18,163.81,45.83,132.0,2.5,0.91,3.14,1.13,1.95,0.71,2.75,48.0
ETHUSD,超短期ボリンジャー4日_1.60倍_決済差額0.00,2018-08-19,2019-08-18,162.53,43.14,137.0,2.4,0.89,2.73,1.0,2.12,0.8,2.69,51.0
ETHUSD,超短期ボリンジャー5日_1.30倍_決済差額0.00,2018-08-19,2019-08-18,162.53,45.1,139.0,2.33,0.85,3.28,1.14,1.55,0.59,2.73,51.0
ETHUSD,超短期ボリンジャー8日_1.20倍_決済差額0.00,2018-08-19,2019-08-18,161.43,45.28,148.0,2.34,0.84,3.16,1.05,1.66,0.63,2.79,53.0
ETHUSD,超短期ボリンジャー7日_1.30倍_決済差額0.00,2018-08-19,2019-08-18,161.01,43.4,146.0,2.26,0.82,3.37,1.16,1.41,0.54,2.75,53.0
ETHUSD,超短期ボリンジャー13日_1.00倍_決済差額0.00,2018-08-19,2019-08-18,157.72,38.89,139.0,2.19,0.85,3.98,1.4,0.75,0.32,2.57,54.0
ETHUSD,超短期ボリンジャー6日_1.60倍_決済差額0.00,2018-08-19,2019-08-18,157.31,42.22,119.0,2.57,0.97,2.52,0.96,2.61,0.98,2.64,45.0
ETHUSD,超短期ボリンジャー4日_1.70倍_決済差額0.00,2018-08-19,2019-08-18,153.14,40.0,133.0,2.37,0.89,2.9,1.05,1.95,0.76,2.66,50.0
ETHUSD,超短期ボリンジャー6日_1.30倍_決済差額0.00,2018-08-19,2019-08-18,152.13,45.28,147.0,2.2,0.79,3.01,1.03,1.58,0.59,2.77,53.0
ETHUSD,超短期ボリンジャー6日_1.50倍_決済差額0.00,2018-08-19,2019-08-18,150.4,40.38,135.0,2.17,0.84,2.2,0.83,2.15,0.84,2.6,52.0
ETHUSD,超短期ボリンジャー14日_1.00倍_決済差額0.00,2018-08-19,2019-08-18,149.56,38.89,137.0,2.13,0.84,4.29,1.47,0.53,0.23,2.54,54.0
ETHUSD,超短期ボリンジャー13日_1.10倍_決済差額0.00,2018-08-19,2019-08-18,145.59,36.54,131.0,2.16,0.86,4.08,1.44,0.64,0.28,2.52,52.0
ETHUSD,超短期ボリンジャー6日_1.10倍_決済差額0.00,2018-08-19,2019-08-18,144.49,43.1,163.0,1.94,0.69,2.14,0.73,1.77,0.65,2.81,58.0
ETHUSD,超短期ボリンジャー11日_1.20倍_決済差額0.00,2018-08-19,2019-08-18,144.23,37.25,130.0,2.21,0.87,3.72,1.28,0.98,0.44,2.55,51.0
ETHUSD,超短期ボリンジャー6日_1.20倍_決済差額0.00,2018-08-19,2019-08-18,139.27,43.86,155.0,1.94,0.71,2.09,0.78,1.81,0.66,2.72,57.0
ETHUSD,超短期ボリンジャー14日_1.80倍_決済差額0.00,2018-08-19,2019-08-18,134.72,53.57,78.0,3.69,1.32,4.53,1.51,2.71,1.07,2.79,28.0
ETHUSD,超短期ボリンジャー7日_1.20倍_決済差額0.00,2018-08-19,2019-08-18,133.67,42.86,155.0,1.95,0.7,2.54,0.88,1.44,0.54,2.77,56.0
ETHUSD,超短期ボリンジャー10日_1.10倍_決済差額0.00,2018-08-19,2019-08-18,131.29,43.1,155.0,1.88,0.7,3.73,1.26,0.48,0.2,2.67,58.0
ETHUSD,超短期ボリンジャー2日_1.40倍_決済差額0.00,2018-08-19,2019-08-18,130.9,47.83,66.0,4.33,1.51,9.07,2.44,2.25,0.9,2.87,23.0
ETHUSD,超短期ボリンジャー15日_1.00倍_決済差額0.00,2018-08-19,2019-08-18,130.41,37.74,134.0,2.01,0.8,4.2,1.42,0.33,0.15,2.53,53.0
ETHUSD,超短期ボリンジャー4日_1.90倍_決済差額0.00,2018-08-19,2019-08-18,126.47,38.64,112.0,2.48,0.97,2.64,1.01,2.37,0.95,2.55,44.0
ETHUSD,超短期ボリンジャー14日_1.30倍_決済差額0.00,2018-08-19,2019-08-18,122.76,34.78,111.0,2.2,0.91,3.76,1.41,0.89,0.4,2.41,46.0
ETHUSD,超短期ボリンジャー15日_1.30倍_決済差額0.00,2018-08-19,2019-08-18,122.56,36.17,116.0,2.17,0.88,4.08,1.5,0.64,0.28,2.47,47.0
ETHUSD,超短期ボリンジャー4日_1.40倍_決済差額0.00,2018-08-19,2019-08-18,122.56,40.38,136.0,1.97,0.75,1.73,0.67,2.18,0.82,2.62,52.0
ETHUSD,超短期ボリンジャー4日_1.80倍_決済差額0.00,2018-08-19,2019-08-18,120.83,37.5,126.0,2.19,0.83,2.85,1.03,1.67,0.66,2.62,48.0
ETHUSD,超短期ボリンジャー3日_1.70倍_決済差額0.00,2018-08-19,2019-08-18,116.26,38.78,126.0,2.15,0.84,2.78,1.04,1.63,0.66,2.57,49.0
ETHUSD,超短期ボリンジャー9日_1.20倍_決済差額0.00,2018-08-19,2019-08-18,115.66,42.31,139.0,1.98,0.74,3.32,1.12,0.92,0.38,2.67,52.0
ETHUSD,超短期ボリンジャー15日_1.50倍_決済差額0.00,2018-08-19,2019-08-18,115.15,38.46,95.0,2.43,1.0,2.92,1.1,1.9,0.86,2.44,39.0
ETHUSD,超短期ボリンジャー4日_1.50倍_決済差額0.00,2018-08-19,2019-08-18,115.07,42.31,136.0,1.89,0.72,1.76,0.67,1.99,0.76,2.62,52.0
ETHUSD,超短期ボリンジャー6日_1.40倍_決済差額0.00,2018-08-19,2019-08-18,115.05,41.51,139.0,1.88,0.72,2.6,0.96,1.27,0.5,2.62,53.0
ETHUSD,超短期ボリンジャー12日_2.00倍_決済差額0.00,2018-08-19,2019-08-18,114.74,45.83,68.0,3.78,1.33,4.94,1.74,2.4,0.85,2.83,24.0
ETHUSD,超短期ボリンジャー2日_1.80倍_決済差額0.00,2018-08-19,2019-08-18,114.71,36.11,100.0,2.74,0.99,3.01,1.17,2.57,0.88,2.78,36.0
ETHUSD,超短期ボリンジャー14日_1.70倍_決済差額0.00,2018-08-19,2019-08-18,114.23,50.0,81.0,3.14,1.16,4.05,1.38,2.11,0.87,2.7,30.0
ETHUSD,超短期ボリンジャー9日_1.30倍_決済差額0.00,2018-08-19,2019-08-18,113.6,42.86,133.0,2.08,0.77,3.27,1.09,1.11,0.45,2.71,49.0
ETHUSD,超短期ボリンジャー3日_1.60倍_決済差額0.00,2018-08-19,2019-08-18,108.11,38.89,139.0,1.77,0.69,1.46,0.59,2.05,0.77,2.57,54.0
ETHUSD,超短期ボリンジャー12日_1.70倍_決済差額0.00,2018-08-19,2019-08-18,108.04,45.45,89.0,2.83,1.05,4.07,1.38,1.51,0.62,2.7,33.0
ETHUSD,超短期ボリンジャー15日_1.40倍_決済差額0.00,2018-08-19,2019-08-18,107.81,34.09,105.0,2.15,0.9,3.36,1.26,1.04,0.49,2.39,44.0
ETHUSD,超短期ボリンジャー2日_1.20倍_決済差額0.00,2018-08-19,2019-08-18,106.94,47.83,63.0,3.79,1.38,5.03,1.74,3.0,1.14,2.74,23.0
ETHUSD,超短期ボリンジャー13日_2.00倍_決済差額0.00,2018-08-19,2019-08-18,106.38,50.0,66.0,3.57,1.3,3.92,1.42,3.16,1.16,2.75,24.0
ETHUSD,超短期ボリンジャー3日_1.50倍_決済差額0.00,2018-08-19,2019-08-18,105.91,40.0,144.0,1.73,0.66,1.5,0.59,1.93,0.72,2.62,55.0
ETHUSD,超短期ボリンジャー5日_1.90倍_決済差額0.00,2018-08-19,2019-08-18,105.89,39.47,103.0,2.4,0.89,2.96,1.05,1.96,0.75,2.71,38.0
ETHUSD,超短期ボリンジャー12日_1.90倍_決済差額0.00,2018-08-19,2019-08-18,105.03,44.83,76.0,2.99,1.14,4.35,1.56,1.72,0.7,2.62,29.0
ETHUSD,超短期ボリンジャー14日_1.40倍_決済差額0.00,2018-08-19,2019-08-18,102.81,34.88,101.0,2.11,0.9,2.99,1.16,1.27,0.59,2.35,43.0
ETHUSD,超短期ボリンジャー15日_1.80倍_決済差額0.00,2018-08-19,2019-08-18,100.5,52.17,66.0,3.75,1.31,3.7,1.26,3.84,1.38,2.87,23.0
ETHUSD,超短期ボリンジャー5日_1.80倍_決済差額0.00,2018-08-19,2019-08-18,99.99,39.02,108.0,2.15,0.82,2.56,0.94,1.84,0.72,2.63,41.0
ETHUSD,超短期ボリンジャー13日_1.70倍_決済差額0.00,2018-08-19,2019-08-18,98.06,45.45,84.0,2.63,1.03,3.65,1.32,1.55,0.67,2.55,33.0
ETHUSD,超短期ボリンジャー10日_1.80倍_決済差額0.00,2018-08-19,2019-08-18,97.69,39.39,83.0,2.56,1.02,3.93,1.44,1.42,0.61,2.52,33.0
ETHUSD,超短期ボリンジャー15日_1.90倍_決済差額0.00,2018-08-19,2019-08-18,97.6,50.0,63.0,3.84,1.34,3.84,1.31,3.84,1.38,2.86,22.0
ETHUSD,超短期ボリンジャー12日_1.20倍_決済差額0.00,2018-08-19,2019-08-18,97.56,36.73,122.0,1.85,0.74,3.31,1.23,0.57,0.25,2.49,49.0
ETHUSD,超短期ボリンジャー2日_1.30倍_決済差額0.00,2018-08-19,2019-08-18,96.46,52.63,58.0,4.26,1.4,7.96,1.99,2.1,0.84,3.05,19.0
ETHUSD,超短期ボリンジャー6日_1.70倍_決済差額0.00,2018-08-19,2019-08-18,96.38,35.56,113.0,1.95,0.78,3.29,1.26,0.77,0.32,2.51,45.0
ETHUSD,超短期ボリンジャー7日_1.40倍_決済差額0.00,2018-08-19,2019-08-18,95.84,42.0,130.0,1.81,0.7,3.01,1.09,0.86,0.35,2.6,50.0
ETHUSD,超短期ボリンジャー5日_1.50倍_決済差額0.00,2018-08-19,2019-08-18,95.27,41.67,128.0,1.86,0.7,2.64,0.97,1.19,0.45,2.67,48.0
ETHUSD,超短期ボリンジャー13日_1.80倍_決済差額0.00,2018-08-19,2019-08-18,95.01,48.39,82.0,2.75,1.04,3.29,1.17,2.09,0.86,2.65,31.0
ETHUSD,超短期ボリンジャー15日_1.70倍_決済差額0.00,2018-08-19,2019-08-18,94.39,48.28,80.0,2.87,1.04,2.46,0.87,3.44,1.29,2.76,29.0
ETHUSD,超短期ボリンジャー2日_1.10倍_決済差額0.00,2018-08-19,2019-08-18,94.09,58.82,51.0,4.62,1.54,4.63,1.6,4.6,1.47,3.0,17.0
ETHUSD,超短期ボリンジャー9日_1.10倍_決済差額0.00,2018-08-19,2019-08-18,94.03,42.11,149.0,1.65,0.63,3.75,1.2,0.22,0.1,2.61,57.0
ETHUSD,超短期ボリンジャー11日_1.90倍_決済差額0.00,2018-08-19,2019-08-18,93.03,43.33,76.0,2.7,1.07,4.43,1.55,1.18,0.52,2.53,30.0
ETHUSD,超短期ボリンジャー14日_2.00倍_決済差額0.00,2018-08-19,2019-08-18,92.07,54.55,64.0,3.63,1.25,3.27,1.12,4.07,1.4,2.91,22.0
ETHUSD,超短期ボリンジャー2日_2.00倍_決済差額0.00,2018-08-19,2019-08-18,90.77,35.48,88.0,2.75,0.97,5.02,1.62,1.5,0.56,2.84,31.0
ETHUSD,超短期ボリンジャー9日_1.50倍_決済差額0.00,2018-08-19,2019-08-18,90.44,42.86,113.0,2.06,0.77,2.72,0.94,1.46,0.58,2.69,42.0
ETHUSD,超短期ボリンジャー13日_1.30倍_決済差額0.00,2018-08-19,2019-08-18,90.1,32.61,109.0,1.88,0.79,3.38,1.22,0.62,0.3,2.37,46.0
ETHUSD,超短期ボリンジャー13日_1.60倍_決済差額0.00,2018-08-19,2019-08-18,89.33,42.86,95.0,2.38,0.88,3.25,1.1,1.45,0.59,2.71,35.0
ETHUSD,超短期ボリンジャー10日_1.70倍_決済差額0.00,2018-08-19,2019-08-18,88.77,41.18,88.0,2.41,0.93,2.59,0.94,2.25,0.92,2.59,34.0
ETHUSD,超短期ボリンジャー2日_1.90倍_決済差額0.00,2018-08-19,2019-08-18,86.25,34.38,88.0,2.59,0.94,5.29,1.71,1.36,0.52,2.75,32.0
ETHUSD,超短期ボリンジャー14日_1.60倍_決済差額0.00,2018-08-19,2019-08-18,86.23,44.12,90.0,2.37,0.9,3.23,1.12,1.4,0.59,2.65,34.0
ETHUSD,超短期ボリンジャー14日_1.90倍_決済差額0.00,2018-08-19,2019-08-18,85.59,52.17,67.0,3.38,1.16,3.58,1.16,3.16,1.16,2.91,23.0
ETHUSD,超短期ボリンジャー9日_1.40倍_決済差額0.00,2018-08-19,2019-08-18,81.94,41.67,133.0,1.76,0.64,3.27,1.09,0.48,0.19,2.77,48.0
ETHUSD,超短期ボリンジャー9日_1.60倍_決済差額0.00,2018-08-19,2019-08-18,80.01,39.02,110.0,1.97,0.73,2.89,0.98,1.18,0.48,2.68,41.0
ETHUSD,超短期ボリンジャー13日_1.40倍_決済差額0.00,2018-08-19,2019-08-18,79.33,34.88,101.0,1.8,0.77,3.51,1.3,0.31,0.15,2.35,43.0
ETHUSD,超短期ボリンジャー4日_2.00倍_決済差額0.00,2018-08-19,2019-08-18,79.25,34.21,98.0,2.19,0.85,3.42,1.24,1.3,0.53,2.58,38.0
ETHUSD,超短期ボリンジャー15日_2.00倍_決済差額0.00,2018-08-19,2019-08-18,75.22,55.0,58.0,3.49,1.2,2.69,0.95,4.68,1.56,2.9,20.0
ETHUSD,超短期ボリンジャー8日_1.30倍_決済差額0.00,2018-08-19,2019-08-18,73.85,41.18,137.0,1.57,0.58,2.83,0.97,0.46,0.19,2.69,51.0
ETHUSD,超短期ボリンジャー12日_1.80倍_決済差額0.00,2018-08-19,2019-08-18,73.71,43.33,81.0,2.43,0.9,3.14,1.07,1.72,0.7,2.7,30.0
ETHUSD,超短期ボリンジャー11日_1.80倍_決済差額0.00,2018-08-19,2019-08-18,70.2,41.94,81.0,2.27,0.87,3.11,1.06,1.49,0.64,2.61,31.0
ETHUSD,超短期ボリンジャー6日_1.80倍_決済差額0.00,2018-08-19,2019-08-18,68.96,36.36,109.0,1.59,0.64,2.33,0.92,0.91,0.37,2.48,44.0
ETHUSD,超短期ボリンジャー12日_1.60倍_決済差額0.00,2018-08-19,2019-08-18,68.5,40.54,96.0,1.97,0.76,3.47,1.2,0.55,0.24,2.59,37.0
ETHUSD,超短期ボリンジャー13日_1.90倍_決済差額0.00,2018-08-19,2019-08-18,67.37,46.15,71.0,2.58,0.94,2.16,0.79,3.16,1.16,2.73,26.0
ETHUSD,超短期ボリンジャー10日_1.30倍_決済差額0.00,2018-08-19,2019-08-18,66.28,39.58,124.0,1.55,0.6,3.44,1.13,0.08,0.04,2.58,48.0
ETHUSD,超短期ボリンジャー6日_1.90倍_決済差額0.00,2018-08-19,2019-08-18,66.04,36.84,95.0,1.77,0.71,2.53,0.97,1.08,0.45,2.5,38.0
ETHUSD,超短期ボリンジャー10日_1.60倍_決済差額0.00,2018-08-19,2019-08-18,65.92,42.86,92.0,2.03,0.77,3.12,1.06,1.21,0.5,2.63,35.0
ETHUSD,超短期ボリンジャー6日_2.00倍_決済差額0.00,2018-08-19,2019-08-18,64.58,37.14,89.0,1.9,0.75,3.14,1.17,0.85,0.35,2.54,35.0
ETHUSD,超短期ボリンジャー10日_1.20倍_決済差額0.00,2018-08-19,2019-08-18,64.05,40.74,136.0,1.37,0.54,3.17,1.06,0.03,0.01,2.52,54.0
ETHUSD,超短期ボリンジャー5日_2.00倍_決済差額0.00,2018-08-19,2019-08-18,63.64,37.14,90.0,1.89,0.73,3.43,1.23,0.74,0.31,2.57,35.0
ETHUSD,超短期ボリンジャー12日_1.30倍_決済差額0.00,2018-08-19,2019-08-18,61.72,33.33,114.0,1.49,0.63,2.98,1.15,0.23,0.1,2.38,48.0
ETHUSD,超短期ボリンジャー7日_1.50倍_決済差額0.00,2018-08-19,2019-08-18,60.82,40.82,123.0,1.42,0.57,2.97,1.08,0.26,0.11,2.51,49.0
ETHUSD,超短期ボリンジャー5日_1.70倍_決済差額0.00,2018-08-19,2019-08-18,60.31,33.33,113.0,1.39,0.55,0.98,0.4,1.76,0.68,2.51,45.0
ETHUSD,超短期ボリンジャー5日_1.60倍_決済差額0.00,2018-08-19,2019-08-18,60.0,40.43,121.0,1.36,0.53,1.65,0.65,1.11,0.43,2.57,47.0
ETHUSD,超短期ボリンジャー13日_1.50倍_決済差額0.00,2018-08-19,2019-08-18,59.98,36.59,101.0,1.65,0.67,2.74,0.98,0.61,0.28,2.46,41.0
ETHUSD,超短期ボリンジャー9日_1.90倍_決済差額0.00,2018-08-19,2019-08-18,59.62,38.71,75.0,1.97,0.81,4.7,1.69,-0.28,-0.13,2.42,31.0
ETHUSD,超短期ボリンジャー11日_1.30倍_決済差額0.00,2018-08-19,2019-08-18,56.37,36.73,118.0,1.4,0.58,3.34,1.17,-0.06,-0.03,2.41,49.0
ETHUSD,超短期ボリンジャー15日_1.60倍_決済差額0.00,2018-08-19,2019-08-18,55.47,41.18,87.0,1.81,0.71,1.9,0.7,1.7,0.72,2.56,34.0
ETHUSD,超短期ボリンジャー7日_1.60倍_決済差額0.00,2018-08-19,2019-08-18,55.33,36.73,116.0,1.32,0.56,2.18,0.86,0.62,0.28,2.37,49.0
