symbol,strategy_name,strategy_option,end_date,"全期間騰落率_複利","利益率3か月","利益率1年","利益率3年","利益率15年","最大ドローダウン","最大ドローダウン3か月","最大ドローダウン1年","最大ドローダウン3年","最大ドローダウン15年","期待利益率3か月","期待利益率3か月long","期待利益率3か月short","期待利益率1年","期待利益率1年long","期待利益率1年short","期待利益率3年","期待利益率3年long","期待利益率3年short","期待利益率15年","期待利益率15年long","期待利益率15年short","全期間期待利益率","全期間期待利益率long","全期間期待利益率short","利益率3か月long","利益率3か月short","利益率1年long","利益率1年short","利益率3年long","利益率3年short","利益率15年long","利益率15年short","勝率","平均取引期間","取引数","取引数long","取引数short","ペイオフレシオ"
6753.T,Bollingerband/DailyTrail,SMA4SD1.2,2019-09-20,32947.6782,0.3069,0.5404,1.6623,5.625,0.4107,0.0043,0.0175,0.0662,0.4107,0.0049,0.012,0.0018,0.0021,0.0027,0.0073,0.0022,0.0067,0.0038,0.0015,0.0044,0.0031,0.0075,0.0092,0.0058,0.2998,0.0071,0.1255,0.4149,1.0411,0.6212,3.1829,2.4421,41.2048,3.1795,830,398,432,2.1876
9501.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,31337.9802,-0.024,-0.0346,0.4445,4.685,0.5057,0.0049,0.0349,0.047,0.5057,-0.0004,-0.0078,0.0029,-0.0001,-0.0025,0.0016,0.0006,0.0016,0.0012,0.0013,0.0034,0.0029,0.0068,0.0072,0.0065,-0.0785,0.0545,-0.1236,0.089,0.2496,0.1949,2.5212,2.1638,37.8267,3.5653,727,359,368,2.1117
5401.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,24068.5928,0.1286,0.1168,0.0747,3.7657,0.5847,0.0016,0.0498,0.1075,0.486,0.002,-0.0012,0.0083,0.0005,-0.0011,0.0028,0.0001,-0.0009,0.0013,0.001,0.0024,0.0023,0.0048,0.0054,0.0043,-0.0124,0.141,-0.0444,0.1612,-0.135,0.2097,1.9515,1.8142,38.0717,3.5377,809,410,399,2.4506
9104.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,21249.6176,0.2434,0.2975,0.3553,4.0272,0.7439,0.0046,0.012,0.0571,0.6757,0.0039,0.0084,0.0045,0.0012,0.0022,0.0035,0.0005,0.0012,0.001,0.0011,0.0021,0.0031,0.0053,0.0041,0.0066,0.1855,0.0579,0.1283,0.1692,0.195,0.1603,1.706,2.3212,38.6256,3.2322,844,443,401,2.6113
9983.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,20841.2617,-0.0037,0.0646,0.2612,2.7379,0.7472,0.0813,0.169,0.2243,0.7472,-0.0001,0.0001,-0.0004,0.0003,0.0017,-0.0006,0.0003,0.0017,-0.0002,0.0007,0.0029,0.0005,0.0044,0.0064,0.002,0.0012,-0.0049,0.0935,-0.0289,0.2854,-0.0242,2.4067,0.3312,36.506,3.1253,830,439,391,2.0703
2428.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,16093.1846,0.1506,0.0762,0.0854,445.5208,0.1038,0.0001,0.001,0.0036,0.076,0.0024,0.0053,0.0057,0.0003,-0.0023,0.0028,0.0001,-0.0012,0.0017,0.1209,0.7029,-0.0021,0.6854,1.5153,-0.0043,0.0371,0.1135,-0.0696,0.1458,-0.144,0.2294,447.0133,-1.4925,22.9231,2.7215,650,295,355,31.6428
5711.T,Bollingerband/DailyTrail,SMA14SD0.7,2019-09-20,15868.8131,0.1016,0.3345,0.7902,4.6217,0.3051,0.0038,0.007,0.0139,0.2383,0.0016,0.006,0.0008,0.0013,0.0026,0.0028,0.001,0.0034,0.0011,0.0012,0.003,0.0022,0.0065,0.0075,0.0056,0.0838,0.0178,0.1499,0.1846,0.5992,0.191,2.7777,1.844,41.0755,3.4348,874,435,439,2.4159
7261.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,15628.8894,0.2125,0.1548,0.0396,4.2094,0.9164,0.008,0.0432,0.1519,0.6523,0.0034,0.0079,0.0115,0.0006,-0.0015,0.0038,0.0001,-0.0001,0.0003,0.0011,0.0034,0.0021,0.0047,0.0059,0.0034,0.0629,0.1496,-0.0565,0.2113,-0.0091,0.0487,2.6133,1.5961,35.0061,3.2815,817,425,392,2.3981
6701.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,15513.9015,-0.0792,-0.1383,-0.1235,3.5196,0.4364,0.037,0.0617,0.0694,0.4364,-0.0013,-0.003,-0.0018,-0.0005,-0.0002,-0.003,-0.0002,0.0006,-0.0021,0.0009,0.0024,0.0022,0.0059,0.0061,0.0057,-0.0576,-0.0216,-0.0164,-0.1219,0.1025,-0.226,1.9484,1.5712,39.8477,3.5228,788,397,391,2.4131
8316.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,15467.0326,0.0464,0.1394,0.1803,2.9621,0.779,0.0254,0.0569,0.351,0.763,0.0007,0.0009,0.0036,0.0006,0.0002,0.0023,0.0002,0.0007,0.0005,0.0008,0.0019,0.0019,0.0039,0.0031,0.0048,0.007,0.0394,0.0095,0.1299,0.0949,0.0854,1.395,1.5671,39.7406,3.283,848,432,416,1.8149
9107.T,Bollingerband/DailyTrail,SMA19SD0.4,2019-09-20,15146.0092,0.3223,0.4634,0.5952,4.1218,0.4793,0.0046,0.0119,0.0188,0.4793,0.0051,0.0111,0.0088,0.0018,0.0017,0.0055,0.0008,0.0006,0.0026,0.0011,0.002,0.0027,0.0055,0.0053,0.0057,0.1997,0.1226,0.0903,0.3731,0.1124,0.4828,1.7506,2.3712,38.7417,3.2848,906,481,425,2.4637
5411.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,14144.0846,0.121,0.1202,-0.1245,3.5186,0.6512,0.0096,0.0853,0.1711,0.5267,0.0019,0.0001,0.008,0.0005,-0.0038,0.004,-0.0002,-0.0014,0.0007,0.0009,0.0031,0.0014,0.0045,0.0073,0.0016,0.001,0.12,-0.1449,0.2651,-0.2175,0.093,2.4899,1.0287,36.9018,3.0504,794,404,390,2.287
9101.T,Bollingerband/DailyTrail,SMA23SD0.3,2019-09-20,13681.3185,0.0908,0.2521,0.6331,4.0939,0.5665,0.0137,0.0229,0.0484,0.5665,0.0014,0.0044,-0.0025,0.001,0.0034,0.0006,0.0008,0.0027,0.0006,0.0011,0.0021,0.0026,0.0058,0.005,0.0066,0.1184,-0.0276,0.2151,0.037,0.5161,0.117,1.8389,2.255,41.3842,3.5805,708,366,342,2.1561
5801.T,Bollingerband/DailyTrail,SMA9SD1.0,2019-09-20,12891.634,0.2932,0.5996,0.8466,4.0586,0.4316,0.0058,0.0277,0.1571,0.213,0.0047,0.0083,0.0116,0.0024,0.0027,0.0082,0.0011,0.0024,0.0025,0.0011,0.0032,0.0018,0.0071,0.0084,0.0059,0.1075,0.1857,0.15,0.4496,0.4429,0.4037,2.572,1.4866,39.5808,3.3391,811,382,429,2.3036
8591.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,12097.7147,0.1459,0.1321,0.1465,2.654,0.9716,0.0024,0.0741,0.1846,0.9507,0.0023,0.0037,0.0134,0.0005,0,0.0028,0.0002,0.0012,-0.0002,0.0007,0.0023,0.0012,0.0037,0.0046,0.0029,0.052,0.0939,0.0012,0.1309,0.1742,-0.0277,1.7426,0.9114,33.3333,3.0669,882,446,436,2.4369
5406.T,Bollingerband/DailyTrail,SMA4SD1.3,2019-09-20,12082.8745,0.1705,0.3572,0.8708,4.1146,0.7503,0.0023,0.0322,0.0914,0.7503,0.0027,0.001,0.0136,0.0014,-0.004,0.0079,0.0011,0.0012,0.0044,0.0011,0.0032,0.0021,0.0073,0.0091,0.0055,0.0076,0.1629,-0.1775,0.5347,0.1644,0.7064,2.559,1.5556,41.1034,3.6083,725,366,359,2.0932
7013.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,11368.5011,0.2254,0.2331,0.0396,4.4867,0.6809,0.0063,0.0415,0.1203,0.6291,0.0036,0.009,0.0115,0.0009,-0.0018,0.0064,0.0001,-0.0007,0.0012,0.0012,0.0034,0.0024,0.0072,0.0081,0.0062,0.1448,0.0806,-0.0866,0.3197,-0.1101,0.1497,2.8649,1.6218,38.2507,3.4608,766,401,365,2.3236
5631.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,10320.4687,0.2408,0.4671,0.3647,3.7281,0.9137,0.002,0.0148,0.0354,0.6299,0.0038,0.0171,0.0038,0.0019,0.0036,0.0059,0.0005,0.0024,0.0003,0.001,0.0043,0.0007,0.004,0.0077,0.0008,0.222,0.0188,0.1885,0.2786,0.3186,0.0461,3.1998,0.5283,34.6715,3.0596,822,387,435,3.7412
8830.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,9653.1704,-0.0763,-0.1003,0.0337,2.2039,0.7381,0.0329,0.0814,0.1138,0.7381,-0.0012,-0.0044,-0.0004,-0.0004,-0.0016,-0.0002,0,0.001,-0.001,0.0006,0.0021,0.0007,0.0038,0.0065,0.0011,-0.0702,-0.0061,-0.0888,-0.0115,0.1692,-0.1355,1.6623,0.5416,37.6019,3.0733,859,428,431,1.9738
7012.T,Bollingerband/DailyTrail,SMA8SD1.1,2019-09-20,9589.0609,0.196,0.4599,0.7676,3.617,0.5447,0.0068,0.0139,0.1056,0.5447,0.0031,0.0058,0.0114,0.0018,0.0031,0.0063,0.001,0.0029,0.0019,0.001,0.003,0.0019,0.0061,0.0077,0.0044,0.1046,0.0914,0.1535,0.3064,0.4728,0.2948,2.3407,1.2763,41.876,3.5126,597,305,292,2.015
5202.T,Bollingerband/DailyTrail,SMA24SD0.4,2019-09-20,9363.1726,0.0411,0.3304,1.1473,5.6195,0.8301,0.004,0.0112,0.0353,0.8301,0.0007,0.0005,0.0018,0.0013,-0.0039,0.0056,0.0015,0.0035,0.0027,0.0015,0.0025,0.0037,0.0075,0.0053,0.0095,0.0041,0.037,-0.1629,0.4933,0.6383,0.509,2.1494,3.4701,40.3409,3.4989,880,422,458,2.4192
7011.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,8005.7358,0.0718,0.0422,-0.0746,2.4716,0.6931,0.0457,0.1497,0.2303,0.6814,0.0011,0.0025,0.0034,0.0002,0.0017,-0.0012,-0.0001,-0.0003,-0.0003,0.0007,0.0022,0.0009,0.0031,0.0045,0.0016,0.0279,0.0439,0.092,-0.0498,-0.0411,-0.0335,1.8515,0.6201,37.1734,3.3076,842,435,407,2.0233
6674.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,7739.648,-0.0026,0.28,0.3034,3.1574,0.745,0.003,0.0106,0.0672,0.745,0,-0.0039,0.0019,0.0011,-0.0002,0.0047,0.0004,-0.0001,0.0021,0.0009,0.0027,0.0013,0.0039,0.0051,0.0027,-0.0273,0.0247,-0.0118,0.2918,-0.0115,0.3149,2.1512,1.0062,38.0893,3.3337,806,404,402,1.9663
5333.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,7563.5994,-0.0105,0.0357,-0.1389,3.7056,0.9401,0.0073,0.0196,0.1456,0.3495,-0.0002,0.0003,-0.0009,0.0001,-0.0008,0.0013,-0.0002,-0.0005,-0.0004,0.001,0.0025,0.0023,0.0039,0.0031,0.0046,0.0037,-0.0142,-0.0393,0.075,-0.076,-0.0629,2.0122,1.6934,37.0238,3.244,840,424,416,2.5181
7003.T,Bollingerband/DailyTrail,SMA10SD1.0,2019-09-20,7426.7757,-0.0565,0.6348,1.5482,5.5717,0.7811,0.0087,0.0175,0.0192,0.5998,-0.0009,-0.0006,-0.0025,0.0025,0.0039,0.0062,0.002,0.0045,0.0034,0.0015,0.0031,0.0036,0.008,0.0086,0.0074,-0.0082,-0.0483,0.2247,0.4101,0.9371,0.6111,2.7105,2.8612,41.2903,3.6555,775,395,380,2.8213
7211.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,6968.1764,0.0792,0.0299,0.2691,4.0503,0.6714,0.0135,0.0834,0.1858,0.667,0.0013,0.0003,0.0067,0.0001,-0.0005,0.0009,0.0004,0.0025,-0.0007,0.0011,0.0035,0.0019,0.0064,0.0088,0.0042,0.0053,0.0739,-0.0212,0.0511,0.3772,-0.1081,2.5562,1.4941,37.4317,3.5997,732,351,381,2.0579
8267.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,6586.5914,-0.0582,0.2045,0.6708,3.3693,0.9145,0.0416,0.0542,0.0625,0.5151,-0.0009,-0.0012,-0.0037,0.0008,0,0.0042,0.0009,0.0027,0.0017,0.0009,0.0027,0.0015,0.0035,0.0045,0.0024,-0.018,-0.0402,0.0008,0.2037,0.4566,0.2142,2.2146,1.1547,36.2843,3.5187,802,413,389,2.5085
8303.T,Bollingerband/DailyTrail,SMA21SD0.5,2019-09-20,5894.1959,0.1121,0.3397,0.3718,3.864,0.4203,0.0379,0.0379,0.0743,0.4203,0.0018,0.0036,0.0043,0.0013,0.0015,0.0037,0.0005,0.0011,0.0009,0.001,0.0017,0.0026,0.0055,0.004,0.0068,0.0469,0.0652,0.1055,0.2342,0.2152,0.1566,1.3843,2.4797,38.7812,3.5789,722,341,381,2.1286
6103.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,5320.0028,0.1498,0.228,0.1816,4.7015,0.4991,0.0086,0.0301,0.0596,0.4676,0.0024,0.0086,0.001,0.0009,0.0045,0.0005,0.0002,0.0018,-0.0007,0.0013,0.0039,0.0022,0.0054,0.0076,0.0031,0.1378,0.012,0.2043,0.0237,0.2697,-0.0881,3.139,1.5625,38.2534,3.0886,813,425,388,2.4639
9202.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,5298.4745,0.0051,0.0769,0.2477,1.9846,0.4248,0.0131,0.0421,0.0772,0.2065,0.0001,0.0002,0.0003,0.0003,-0.001,0.002,0.0003,0.0004,0.0013,0.0005,0.0013,0.0014,0.0039,0.0042,0.0036,0.0021,0.003,-0.0362,0.1131,0.0632,0.1845,1.0378,0.9468,38.1669,3.8003,731,394,337,2.3207
6305.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,5130.7725,0.2126,0.1926,0.161,3.0902,0.8074,0.0086,0.1752,0.1779,0.5891,0.0034,0.0052,0.0099,0.0008,0.0038,-0.0003,0.0002,0.0022,-0.0021,0.0008,0.0027,0.0011,0.0028,0.005,0.0004,0.0835,0.1291,0.2059,-0.0133,0.4118,-0.2508,2.3199,0.7703,38.1653,2.9672,883,460,423,2.024
8053.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,4945.5526,0.0571,0.1084,0.2781,1.8258,0.7434,0.0608,0.1495,0.1956,0.5442,0.0009,0.0047,-0.0012,0.0004,-0.0002,0.0024,0.0004,0.001,0.001,0.0005,0.0012,0.0012,0.0025,0.0036,0.0014,0.0657,-0.0086,-0.0093,0.1177,0.1626,0.1155,0.9996,0.8262,38.8078,3.3418,822,425,397,1.9114
4062.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,4923.5237,-0.0833,-0.3911,-0.4835,0.8798,0.5099,0.0362,0.1092,0.1355,0.3975,-0.0013,-0.0015,-0.0059,-0.0016,-0.005,-0.0048,-0.0006,-0.0013,-0.0026,0.0002,0.0009,0.0002,0.0019,0.0026,0.0012,-0.012,-0.0713,-0.2055,-0.1856,-0.156,-0.3275,0.7095,0.1703,35.5606,2.9468,883,457,426,2.2396
5706.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,4727.8733,0.0549,0.2051,0.9774,3.6942,0.7204,0.0419,0.0954,0.1379,0.4812,0.0009,0.0083,-0.0059,0.0008,0.0031,0.0001,0.0013,0.0034,0.0024,0.001,0.0029,0.0018,0.0048,0.0061,0.0036,0.108,-0.0531,0.201,0.0041,0.6103,0.3671,2.2621,1.4321,40.1709,3.254,819,401,418,2.1153
2768.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,4674.8883,-0.0051,0.0834,0.0316,1.881,0.8083,0.0047,0.0638,0.0775,0.6036,-0.0001,-0.001,0.0007,0.0003,-0.0011,0.0026,0,0.0007,-0.0006,0.0005,0.0018,0.0005,0.0044,0.007,0.0018,-0.0086,0.0035,-0.0472,0.1306,0.1061,-0.0745,1.5536,0.3274,35.8566,3.5007,753,379,374,2.3105
6724.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,4198.2949,0.0941,-0.0599,-0.1085,1.5986,0.7025,0.0263,0.134,0.2059,0.7025,0.0015,0.0004,0.0074,-0.0002,-0.0039,0.0032,-0.0001,-0.0015,0.0009,0.0004,0.0012,0.0009,0.0028,0.003,0.0025,0.0054,0.0887,-0.208,0.1481,-0.2279,0.1194,0.9248,0.6738,36.8675,3.153,830,421,409,2.0268
5563.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,4193.7615,0.1055,0.2221,0.2817,3.5436,0.6184,0.0026,0.0074,0.0797,0.4949,0.0017,-0.002,0.0063,0.0009,-0.0036,0.0067,0.0004,0.0009,0.001,0.001,0.003,0.0016,0.0041,0.0069,0.0015,-0.0324,0.1379,-0.1711,0.3932,0.1534,0.1283,2.3205,1.2231,35.7599,3.1686,783,383,400,3.232
1808.T,Bollingerband/DailyTrail,SMA16SD0.5,2019-09-20,4181.5081,0.1264,0.2604,0.1031,2.8717,0.782,0.0162,0.0416,0.1423,0.782,0.002,0.0048,0.0019,0.001,0.0003,0.0037,0.0001,0.0004,0.0001,0.0008,0.0024,0.001,0.0044,0.0075,0.0014,0.1056,0.0208,0.0137,0.2467,0.0875,0.0156,2.0035,0.8682,31.3003,3.0713,869,422,447,2.5587
6361.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,3920.7595,0.0992,0.4401,0.0639,2.8724,0.5848,0.0254,0.0339,0.2578,0.3676,0.0016,0.0008,0.0069,0.0017,-0.0006,0.0085,0.0001,-0.0017,0.0023,0.0008,0.002,0.0017,0.0044,0.0037,0.0051,0.0159,0.0833,-0.0343,0.4744,-0.2652,0.3291,1.5879,1.2845,38.2775,3.244,836,433,403,2.0125
1518.T,Bollingerband/DailyTrail,SMA23SD0.2,2019-09-20,3622.6632,0.1087,0.2306,-0.1207,4.6445,0.5562,0.0002,0.0088,0.0263,0.4459,0.0017,0.0036,0.0037,0.0009,0.0003,0.0028,-0.0002,-0.0004,-0.0004,0.0012,0.0026,0.0029,0.0065,0.0061,0.0069,0.0462,0.0625,0.0092,0.2214,-0.0645,-0.0562,2.0373,2.6072,34.8977,3.438,831,396,435,3.5031
8136.T,Bollingerband/DailyTrail,SMA19SD0.4,2019-09-20,3491.7047,0.0995,0.1607,0.2283,4.9245,0.5575,0.0093,0.0129,0.036,0.5575,0.0016,0,0.0031,0.0006,0.0022,0.0003,0.0003,0.0009,0.0003,0.0013,0.0033,0.0023,0.0063,0.0081,0.0047,0,0.0995,0.1413,0.0194,0.1761,0.0522,2.9231,2.0014,40.608,3.3464,921,444,477,2.0374
9062.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,3460.7216,0.0392,0.1169,0.4342,2.4119,0.8127,0.0175,0.0447,0.1441,0.8127,0.0006,0.0003,0.0039,0.0005,-0.0023,0.0034,0.0006,0.0009,0.002,0.0006,0.0016,0.0016,0.0037,0.0046,0.0029,0.0037,0.0355,-0.0836,0.2005,0.1322,0.302,1.2531,1.1588,40.7609,3.5938,736,366,370,2.0827
3103.T,Bollingerband/DailyTrail,SMA18SD0.4,2019-09-20,3445.8131,0.2485,0.6745,1.348,4.1914,0.2251,0.0014,0.0042,0.1168,0.2251,0.0039,0.0016,0.0134,0.0027,-0.0002,0.0078,0.0018,0.0022,0.0046,0.0011,0.0022,0.0027,0.01,0.0093,0.0107,0.0337,0.2148,-0.0102,0.6847,0.3721,0.9759,1.8077,2.3837,41.7889,4.3856,682,341,341,2.275
6728.T,Bollingerband/DailyTrail,SMA16SD0.3,2019-09-20,3366.4238,0.1576,0.3618,0.8342,3.6079,0.858,0.0503,0.08,0.2386,0.858,0.0025,0.0083,-0.0165,0.0014,0.0047,0.0012,0.0011,0.004,-0.0003,0.001,0.0028,0.0013,0.0045,0.0059,0.0032,0.2071,-0.0495,0.3038,0.058,0.8773,-0.0431,2.4598,1.1481,37.0552,2.9632,815,404,411,2.2542
1605.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,3213.8131,0.0531,-0.0941,-0.1301,2.0269,0.6502,0.126,0.2877,0.412,0.6502,0.0008,0.0063,-0.0029,-0.0004,-0.0033,0.0009,-0.0002,0.0001,-0.0011,0.0005,0.0021,0.0005,0.0024,0.0039,0.0008,0.088,-0.0349,-0.1365,0.0424,0.0098,-0.1399,1.6987,0.3282,29.5102,3.0323,837,436,401,2.5971
5201.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,3120.2067,0.0659,0.1301,0.0026,1.9519,0.607,0.0511,0.1455,0.1818,0.607,0.001,-0.0054,0.0119,0.0005,-0.0021,0.0047,0,-0.0013,0.0016,0.0005,0.0013,0.0012,0.0026,0.0024,0.0028,-0.0647,0.1306,-0.0982,0.2283,-0.1914,0.194,1.0775,0.8744,35,3.2143,840,446,394,2.1256
5233.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2855.4193,0.0383,0.0675,0.0252,3.1186,0.7423,0.0296,0.1136,0.1825,0.6968,0.0006,0.0012,0.0018,0.0003,-0.0002,0.0014,0,0.0015,-0.0013,0.0008,0.0021,0.002,0.0045,0.0051,0.0039,0.0148,0.0235,-0.009,0.0765,0.2128,-0.1876,1.6479,1.4707,37.8378,3.332,777,388,389,1.9256
4183.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2844.7718,0.0008,0.0837,0.09,2.418,0.9183,0.0329,0.1346,0.2147,0.8178,0,-0.0041,0.0042,0.0003,-0.0027,0.0046,0.0001,-0.0004,0.0012,0.0006,0.0012,0.0021,0.0032,0.0026,0.0038,-0.0451,0.0459,-0.1321,0.2158,-0.0594,0.1494,0.9243,1.4937,36.1754,3.1559,821,423,398,2.0588
5019.T,Bollingerband/DailyTrail,SMA15SD0.4,2019-09-20,2824.265,0.2116,0.4381,1.0021,1.8253,0.7325,0.0475,0.2685,0.4567,0.7325,0.0034,0.0053,0.0065,0.0017,0.0033,0.0038,0.0013,0.0041,0.0004,0.0006,0.0018,0.0006,0.0027,0.0041,0.0013,0.1015,0.1101,0.15,0.2881,0.9358,0.0663,1.4002,0.4251,37.1642,3.2627,670,342,328,2.107
4661.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2818.6408,-0.0415,0.0177,0.1421,1.265,0.6046,0.1448,0.1448,0.2932,0.5496,-0.0007,0.0028,-0.0092,0.0001,0.0014,-0.0012,0.0002,0.0016,-0.0011,0.0003,0.0015,0,0.0022,0.0034,0.0009,0.0501,-0.0916,0.0693,-0.0516,0.2783,-0.1362,1.2519,0.0131,40.027,3.6752,742,394,348,1.779
9041.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2786.5862,-0.0452,0.0191,0.148,2.1662,0.3043,0.0145,0.0308,0.0308,0.1749,-0.0007,-0.001,-0.0033,0.0001,-0.0003,0.0009,0.0002,0.0006,0.0004,0.0006,0.0019,0.001,0.004,0.0054,0.0028,-0.0124,-0.0328,-0.0182,0.0373,0.0912,0.0568,1.4604,0.7058,41.3545,3.9121,694,334,360,2.3087
8473.T,Bollingerband/DailyTrail,SMA8SD0.7,2019-09-20,2775.6538,0.167,0.33,0.2801,3.4795,0.8242,0.0574,0.2494,0.7706,0.8242,0.0027,0.0082,0.003,0.0013,0.002,0.0034,0.0004,0.0011,0.0005,0.0009,0.0019,0.0021,0.0071,0.0062,0.008,0.0986,0.0684,0.1018,0.2282,0.1993,0.0808,1.5963,1.8832,35.0951,2.9725,946,469,477,2.0001
1820.T,Bollingerband/DailyTrail,SMA5SD0.7,2019-09-20,2768.9738,0.0888,0.1328,0.4413,4.5041,0.3276,0.0086,0.0254,0.0503,0.3276,0.0014,0.0018,0.0043,0.0005,-0.0014,0.0031,0.0006,0.0006,0.002,0.0012,0.0031,0.0023,0.0072,0.0081,0.0063,0.0249,0.0639,-0.0789,0.2117,0.1127,0.3286,2.6032,1.9009,40.5779,3.6935,796,398,398,2.3434
8604.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2754.7481,0.0959,0.1151,-0.0027,2.7012,0.8093,0.1044,0.2958,0.5283,0.7943,0.0015,0.008,-0.0011,0.0005,0.0004,0.0018,0,-0.0001,0.0001,0.0007,0.0021,0.0014,0.0031,0.0028,0.0035,0.1117,-0.0158,0.0154,0.0997,-0.0178,0.0151,1.5798,1.1214,36.5882,3.2671,850,424,426,1.8282
6310.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2682.1266,0.1664,0.2688,0.0956,2.9119,0.7045,0.0003,0.0039,0.0179,0.5248,0.0026,0.0067,0.0085,0.0011,-0.0013,0.0057,0.0001,-0.0008,0.0013,0.0008,0.0014,0.0025,0.0042,0.0035,0.005,0.0732,0.0932,-0.0586,0.3274,-0.1043,0.1999,1.0055,1.9064,37.5,3.1961,760,381,379,2.7728
4004.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2629.3245,0.0812,0.2725,0.4914,2.9144,0.8883,0.167,0.4239,0.628,0.628,0.0013,0.0034,0.0034,0.0011,0.0004,0.0049,0.0006,0.002,0.0013,0.0008,0.0024,0.0016,0.0033,0.0036,0.0029,0.0439,0.0373,0.0199,0.2526,0.3412,0.1502,1.8319,1.0825,35.5177,3.329,763,406,357,2.1607
6302.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2595.425,0.0789,0.1704,-0.2211,1.7881,0.8322,0.0417,0.0817,0.3619,0.8322,0.0013,0.0073,-0.0019,0.0007,0.0025,0.0012,-0.0003,0.0009,-0.0028,0.0005,0.0015,0.0009,0.0034,0.0029,0.0039,0.1015,-0.0226,0.1156,0.0548,0.134,-0.3551,1.1998,0.5883,34.1981,2.9858,848,447,401,2.179
5232.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2573.8486,0.0614,0.3134,0.4416,3.4519,0.5907,0.0152,0.0152,0.1181,0.5142,0.001,0.0015,0.0023,0.0012,0.0022,0.0038,0.0006,0.0014,0.0017,0.0009,0.0024,0.0021,0.005,0.0047,0.0052,0.0316,0.0298,0.1157,0.1977,0.2131,0.2285,1.8388,1.6131,39.6783,3.504,746,377,369,2.157
5727.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2530.8387,0.0787,0.3217,0.3388,3.024,0.8279,0.0075,0.0557,0.1676,0.8279,0.0012,0.0051,0.0024,0.0013,0.005,0.0019,0.0004,0.0025,0,0.0008,0.0034,0.0008,0.0042,0.009,0.0003,0.0405,0.0382,0.2259,0.0958,0.3433,-0.0045,2.3782,0.6458,34.0095,2.9737,838,382,456,2.5438
3086.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2486.6728,0.0146,0.2052,0.2813,2.3163,0.6174,0.0304,0.0727,0.1933,0.6174,0.0002,0.0014,-0.001,0.0008,0.0002,0.0033,0.0004,-0.0001,0.0018,0.0006,0.0012,0.002,0.0033,0.003,0.0037,0.024,-0.0094,0.0077,0.1975,-0.0162,0.2975,0.8675,1.4488,38.7376,3.2698,808,403,405,1.9692
4043.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,2415.2413,0.2183,0.272,0.2317,3.0946,0.7156,0.0656,0.1027,0.2813,0.5407,0.0035,0.0027,0.0115,0.0011,-0.0021,0.0072,0.0003,-0.0013,0.0033,0.0008,0.0024,0.0016,0.0034,0.0039,0.0029,0.0454,0.1729,-0.0975,0.3695,-0.211,0.4427,1.9126,1.182,37.6777,3.1351,844,421,423,2.0531
