symbol,strategy_name,strategy_option,end_date,"全期間騰落率_複利","利益率3か月","利益率1年","利益率3年","利益率15年","最大ドローダウン","最大ドローダウン3か月","最大ドローダウン1年","最大ドローダウン3年","最大ドローダウン15年","期待利益率3か月","期待利益率3か月long","期待利益率3か月short","期待利益率1年","期待利益率1年long","期待利益率1年short","期待利益率3年","期待利益率3年long","期待利益率3年short","期待利益率15年","期待利益率15年long","期待利益率15年short","全期間期待利益率","全期間期待利益率long","全期間期待利益率short","利益率3か月long","利益率3か月short","利益率1年long","利益率1年short","利益率3年long","利益率3年short","利益率15年long","利益率15年short","勝率","平均取引期間","取引数","取引数long","取引数short","ペイオフレシオ"
1873.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,179.9049,0.1296,0.4643,0.7908,-0.1214,0.6724,0.0036,0.0239,0.0962,0.6724,0.0021,0.0069,-0.0002,0.0019,0.0027,0.0057,0.001,0.0028,0.0024,0,-0.0001,-0.0001,0.0012,0.0026,-0.0002,0.1315,-0.0019,0.1612,0.3031,0.5189,0.2719,-0.0633,-0.0581,30.8659,3.3855,716,358,358,3.0905
2729.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,179.5167,0.12,0.0477,0.3108,2.7966,0.0611,0.0005,0.0142,0.0145,0.031,0.0019,0.0019,0.0047,0.0002,-0.0006,0.0013,0.0004,0.0017,0.0001,0.0007,0.0018,0.0018,0.0054,0.0068,0.0036,0.0168,0.1032,-0.0297,0.0774,0.2931,0.0177,1.59,1.2066,21.8391,3.6968,696,383,313,10.1266
6905.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,177.9586,0.0632,0.1933,0.2358,0.1974,0.2383,0.0185,0.1172,0.1651,0.2383,0.001,0.0089,-0.0051,0.0008,-0.0006,0.0047,0.0003,0.0004,0.0014,0.0001,0.0003,-0.0001,0.0008,0.0009,0.0007,0.0888,-0.0256,-0.03,0.2233,0.0558,0.18,0.2315,-0.0341,34.315,3.1178,781,403,378,2.4001
8518.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,177.466,0.3688,0.4081,0.1168,2.6599,0.5028,0.2334,0.2357,0.4753,0.5028,0.0059,0.0407,-0.0178,0.0017,0.0063,0.004,0.0002,0.0018,-0.0006,0.001,0.0045,0.0012,0.0059,0.0096,0.003,0.5289,-0.1601,0.2154,0.1927,0.2007,-0.0839,1.8871,0.7728,28.5398,2.8894,452,197,255,2.7818
4722.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,175.7244,0.0168,0.0219,0.1334,1.7927,0.4153,0.0308,0.1493,0.1564,0.4153,0.0003,-0.0011,0.0029,0.0001,0,0.0005,0.0002,0.002,-0.0012,0.0005,0.002,0.0002,0.0042,0.0058,0.0026,-0.0095,0.0263,-0.0012,0.0231,0.2979,-0.1645,1.6107,0.182,35.1773,3.6085,705,350,355,2.2072
9022.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,175.6163,-0.0072,-0.0771,-0.1753,1.0652,0.6554,0.0624,0.2682,0.5005,0.6554,-0.0001,-0.0005,0,-0.0003,-0.0022,0.0002,-0.0002,-0.0007,-0.0006,0.0003,0.0009,0.0005,0.0012,0.0022,0.0002,-0.0067,-0.0005,-0.0834,0.0063,-0.0961,-0.0792,0.7503,0.3149,37.4194,3.4039,775,401,374,1.7465
3132.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,174.8304,0.2747,0.4604,0.616,0.9099,0.4477,0.0277,0.3323,0.4477,0.4477,0.0044,0.0056,0.01,0.0019,-0.0005,0.0077,0.0008,0.0002,0.0038,0.0008,0.0006,0.0033,0.0045,0.0014,0.0079,0.095,0.1797,-0.026,0.4864,0.0363,0.5797,0.1478,0.7621,38.3085,3.3483,201,105,96,2.2091
4471.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,173.8412,0.119,0.2693,0.1855,0.9391,0.3322,0.0441,0.057,0.1619,0.3322,0.0019,-0.0052,0.0104,0.0011,0.0011,0.0045,0.0002,0.0005,0.0007,0.0003,0.0015,-0.0003,0.0011,0.0031,-0.001,-0.0574,0.1764,0.0514,0.2179,0.0801,0.1054,1.1884,-0.2493,37.5788,3.3884,793,409,384,2.0246
3048.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,172.029,0.1062,0.0547,0.1032,2.8243,0.672,0.039,0.331,0.672,0.672,0.0017,0.0061,0.0021,0.0002,-0.0027,0.0037,0.0001,0.0015,-0.0011,0.001,0.0025,0.0023,0.0066,0.0075,0.0055,0.0848,0.0214,-0.1016,0.1563,0.2349,-0.1317,1.7145,1.1098,37.6744,3.9279,430,228,202,1.7815
8869.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,171.2878,-0.0647,0.0102,0.5297,0.3172,0.6471,0.0026,0.0085,0.0241,0.6471,-0.001,-0.0017,-0.0034,0,-0.0029,0.0025,0.0007,0.0018,0.0015,0.0001,-0.0001,0.0005,0.0007,0.0003,0.0012,-0.0245,-0.0402,-0.1169,0.1271,0.3128,0.2169,-0.0748,0.392,31.9338,3.0153,786,392,394,2.8758
8029.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,170.8512,0.0093,0.1677,0.6519,1.6283,0.8713,0.0177,0.0791,0.3768,0.8448,0.0001,-0.002,0.0012,0.0007,-0.0007,0.0037,0.0009,0.0041,0.0003,0.0004,0.001,0.0013,0.0043,0.0036,0.005,-0.0101,0.0194,-0.0269,0.1946,0.6109,0.041,0.6223,1.006,31.2916,2.9454,751,370,381,2.289
6866.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,170.1205,0.0359,0.2043,0.3495,3.4869,0.1321,0.0248,0.0691,0.1321,0.1321,0.0006,-0.0044,0.0065,0.0008,0.0005,0.0034,0.0005,0.0015,0.0007,0.0009,0.0027,0.0019,0.0069,0.009,0.0048,-0.0481,0.084,0.0232,0.1811,0.2559,0.0936,2.1455,1.3414,27.7533,3.7474,681,339,342,4.3814
3387.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,169.9496,0.107,0.0754,0.3252,3.4208,0.6796,0.091,0.091,0.2742,0.6796,0.0017,0.0081,-0.0029,0.0003,0.0018,-0.0006,0.0004,0.0014,0.0007,0.001,0.0051,-0.0001,0.0074,0.0151,-0.0002,0.1302,-0.0232,0.1003,-0.0249,0.2428,0.0824,3.4682,-0.0474,34.7826,3.9087,460,229,231,2.2256
1812.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,168.3001,0.1179,-0.239,-0.0919,0.8504,0.9476,0.0962,0.7262,0.7456,0.9476,0.0019,0.0043,0.0053,-0.0009,-0.0012,-0.0045,-0.0001,0.0003,-0.001,0.0002,0.0006,0.0006,0.0016,0.0024,0.0008,0.0647,0.0532,-0.063,-0.176,0.0452,-0.1371,0.4349,0.4155,35.5037,3.2457,814,399,415,1.8417
7181.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,167.807,0.0962,0.2393,0.5201,0.4708,0.3783,0.1538,0.2574,0.2585,0.3783,0.0015,0.0016,0.0038,0.001,0.0014,0.0031,0.0007,0.0028,0.0009,0.0005,0.0016,0.001,0.0029,0.0039,0.0022,0.0231,0.0731,0.0609,0.1784,0.3773,0.1428,0.2639,0.2069,39.1304,3.5404,161,68,93,2.1549
3571.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,167.5349,0,-0.0042,-0.1129,1.1615,0.412,0,0.0003,0.0056,0.0571,0,0,0,0,-0.0001,0,-0.0001,-0.0005,-0.0004,0.0003,0.0008,0.0009,0.0026,0.0032,0.002,0,0,-0.0042,0,-0.0631,-0.0498,0.6049,0.5566,13.6876,3.8744,621,336,285,13.6375
5445.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,167.0875,0.0418,0.2582,0.7541,2.476,0.4997,0.0054,0.0105,0.0335,0.4997,0.0007,-0.0021,0.0042,0.001,-0.0012,0.0058,0.001,0.0006,0.0038,0.0007,0.0021,0.0012,0.0032,0.0037,0.0028,-0.0333,0.0751,-0.0667,0.3249,0.0924,0.6617,1.6201,0.8559,33.0037,2.9815,809,407,402,2.3552
1430.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,165.2734,0.0227,0.3735,0.789,1.6889,0.1114,0.0086,0.0247,0.0392,0.1114,0.0004,0.0014,0.0007,0.0015,0.0019,0.0055,0.001,0.0024,0.0028,0.0015,0.0047,0.0024,0.009,0.0116,0.0059,0.015,0.0077,0.0838,0.2897,0.4151,0.3739,1.1836,0.5053,39.8936,3.3511,188,102,86,3.2841
6217.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,164.1456,0.129,0.0776,0.254,2.8506,0.8215,0.004,0.0256,0.2619,0.5728,0.002,0.0021,0.0068,0.0003,0,0.0015,0.0003,0.0008,0.0009,0.0008,0.0034,0.0006,0.0039,0.0061,0.0019,0.0337,0.0953,-0.0009,0.0785,0.1015,0.1525,2.3939,0.4567,32.1564,3.0429,793,373,420,2.3604
2418.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,162.4222,0.0846,0.0072,-0.0067,1.652,0.315,0.0007,0.0095,0.0172,0.315,0.0013,0.0033,0.004,0,-0.0016,0.0012,0,-0.0012,0.0011,0.0004,0.0016,0.0006,0.0028,0.0041,0.0015,0.0198,0.0648,-0.0616,0.0688,-0.1891,0.1824,1.1831,0.4689,35.5705,3.6409,596,287,309,3.0196
9312.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,161.2634,0,0,0.094,1.8988,0.273,0,0,0.0011,0.273,0,0,0,0,0,0,0.0001,0.0003,0.0004,0.0005,0.0009,0.0016,0.0031,0.0021,0.0042,0,0,0,0,0.0444,0.0496,0.7125,1.1863,18.9189,4.0661,666,341,325,5.8758
5357.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,160.3046,0.0232,0.3855,0.8095,1.2091,0.2483,0.0134,0.0226,0.2483,0.2483,0.0004,0.001,0.0003,0.0016,0.0015,0.005,0.0011,0.0033,0.0017,0.0003,0.001,0.0006,0.0011,0.0028,-0.0005,0.0207,0.0025,0.0787,0.3068,0.5771,0.2324,0.7633,0.4458,32.7089,3.6499,694,340,354,3.21
7102.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,159.9621,0.1968,0.3659,0.3211,2.3987,0.5168,0.0018,0.1109,0.1383,0.5168,0.0031,0.0075,0.0067,0.0015,0.0013,0.0053,0.0004,-0.0002,0.0022,0.0006,0.0014,0.0017,0.0032,0.0026,0.0038,0.0903,0.1065,0.0695,0.2964,-0.0324,0.3535,1.0814,1.3173,37.4497,3.5611,745,367,378,1.9094
3539.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,158.968,0.0103,-0.1016,0.1564,0.7082,0.1235,0.026,0.1051,0.1235,0.1235,0.0002,0.0033,-0.005,-0.0004,-0.0019,-0.0003,0.0002,0.0006,0.0004,0.0008,0.002,0.0018,0.005,0.0054,0.0046,0.0652,-0.0549,-0.0852,-0.0164,0.1046,0.0518,0.4125,0.2957,35.9155,3.6761,142,77,65,4.892
8527.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,157.3277,0.0788,0.3036,0.4646,1.5744,0.1702,0.0034,0.0137,0.0324,0.1702,0.0013,0.0041,0.0013,0.0012,0.0004,0.004,0.0006,-0.0004,0.0026,0.0004,0.0007,0.0013,0.0019,0.0012,0.0027,0.0619,0.0169,0.0217,0.2819,-0.0516,0.5162,0.4791,1.0953,20.1258,3.439,795,383,412,5.849
4047.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,156.9293,-0.0989,-0.0912,0.1351,2.7229,0.7035,0.1134,0.2148,0.48,0.7035,-0.0016,-0.0059,-0.0047,-0.0004,-0.0052,0.0036,0.0002,0.0009,-0.0001,0.0007,0.0022,0.0013,0.0041,0.0052,0.0031,-0.0707,-0.0282,-0.2636,0.1724,0.1464,-0.0113,1.7164,1.0065,35.6882,3.1315,821,403,418,1.898
4974.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,156.1812,0.0181,0.3174,0.3433,1.7818,0.8918,0.2199,0.3561,0.3867,0.8918,0.0003,0.0024,-0.002,0.0013,0.0027,0.0031,0.0005,0.0018,0.0004,0.0005,0.0038,-0.0009,0.0028,0.0087,-0.0021,0.0437,-0.0256,0.1411,0.1763,0.2868,0.0565,2.5358,-0.754,33.1269,3.0882,646,293,353,2.1149
8802.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,155.2138,-0.1131,-0.336,-0.5342,1.3299,0.9637,0.2882,0.7132,0.8464,0.9637,-0.0018,-0.0067,-0.0033,-0.0014,-0.0021,-0.0046,-0.0007,-0.0014,-0.0023,0.0004,0.0013,0.0005,0.0019,0.0034,0.0004,-0.0603,-0.0528,-0.1061,-0.2299,-0.2095,-0.3247,0.9471,0.3828,34.8613,3.2847,829,405,424,1.8762
9946.T,Bollingerband/DailyTrail,SMA3SD1.0,2019-09-20,154.5351,0.0412,0.0392,0.2856,1.4338,0.2318,0.0106,0.0548,0.0903,0.1946,0.0007,0.0016,0.0023,0.0002,-0.0003,0.0009,0.0004,0.0014,0.0004,0.0004,0.0012,0.0006,0.0015,0.0024,0.0005,0.0112,0.03,-0.0131,0.0523,0.2177,0.0679,0.9918,0.442,39.538,3.6617,736,386,350,1.9953
